task,model,tier,n_group,n_random,mean_group,std_group,mean_random,std_random,inflation,ci_lo,ci_hi,mean_lift_group,mean_lift_random,inflation_lift,ci_lift_lo,ci_lift_hi
ess,LogisticRegression,pairwise,50,50,0.48488711712,0.11197864166698625,0.4661271076207572,0.026569483383049205,-0.01876000949924278,-0.05033762856782765,0.01231115932008666,,,,,
ess,LogisticRegression,hypergraph,50,50,0.52733083098,0.1205831490102901,0.5272890408631096,0.02882216958546341,-4.1790116890427775e-05,-0.03384009051922669,0.03453728051130378,,,,,
ess,LogisticRegression,hb_graph,50,50,0.54359016478,0.10745540701749295,0.5574269168355169,0.029005343572087106,0.013836752055516932,-0.016684479731292147,0.0446440903299552,,,,,
ess,RBF-SVM,pairwise,50,50,0.49255016915999994,0.11414817196596003,0.47201280918235666,0.028114942815142027,-0.020537359977643277,-0.05268610676824865,0.011612628024769383,,,,,
ess,RBF-SVM,hypergraph,50,50,0.51990177274,0.11352437983256057,0.4637884911914431,0.032718981053277425,-0.05611328154855694,-0.08820427414361176,-0.023343629598197073,,,,,
ess,RBF-SVM,hb_graph,50,50,0.53592579368,0.10948729689988655,0.5378582423987612,0.03525342362980294,0.0019324487187611927,-0.028537191237293,0.03355128855326614,,,,,
ess,MLP,pairwise,50,50,0.48277232172000006,0.10985821398989058,0.4796709555701053,0.03597290959852352,-0.0031013661498947576,-0.034237739146163196,0.02879506632901781,,,,,
ess,MLP,hypergraph,50,50,0.5283529931200001,0.10477617443739767,0.5477105124092065,0.0406512541674183,0.019357519289206482,-0.011031884779721182,0.050600291803250846,,,,,
ess,MLP,hb_graph,50,50,0.54335148436,0.10351734585608277,0.5681665483692266,0.03085113883640892,0.024815064009226617,-0.005216785713785435,0.05457004115619613,,,,,
ess,RandomForest,pairwise,50,50,0.56620134668,0.09639354389902621,0.6154057522282599,0.02724781910603336,0.04920440554825989,0.022109338051274265,0.07618857170209714,,,,,
ess,RandomForest,hypergraph,50,50,0.5828633759999999,0.08605324162010712,0.6343131601084463,0.027278729178563374,0.05144978410844636,0.02702933145571614,0.07677724051456196,,,,,
ess,RandomForest,hb_graph,50,50,0.59364639432,0.08817351275288893,0.6497991683411337,0.029793731552607134,0.05615277402113372,0.03101795961823521,0.08197461351136892,,,,,
ess,XGBoost,pairwise,50,50,0.55850151558,0.0950582834292716,0.6284923091036344,0.02498397540981634,0.06999079352363435,0.043387271892821266,0.09771702827883752,,,,,
ess,XGBoost,hypergraph,50,50,0.5784474721999999,0.08730741383984741,0.6539853931050978,0.031282223311180905,0.07553792090509792,0.050244541739982065,0.10168126208645686,,,,,
ess,XGBoost,hb_graph,50,50,0.59507213138,0.08538563025243755,0.6616240456838749,0.03473899613406823,0.06655191430387486,0.04167886952100999,0.09169489466185238,,,,,
ess,LightGBM,pairwise,50,50,0.54908252124,0.09873079884102848,0.6280185569907766,0.027532561298338837,0.07893603575077657,0.05094308043728421,0.10781887729788309,,,,,
ess,LightGBM,hypergraph,50,50,0.5552939480600001,0.08812096072967103,0.6408016234084398,0.042847395153619454,0.08550767534843973,0.05903613047628287,0.11234036468097688,,,,,
ess,LightGBM,hb_graph,50,50,0.58010046288,0.08953599675036303,0.6389545296833932,0.031061958829338578,0.058854066803393223,0.03340021991693928,0.0850844408876961,,,,,
ess,TabPFN,pairwise,50,50,0.56686668546,0.09820386505053123,0.6523045587189746,0.027162987211550513,0.08543787325897467,0.058692241107046426,0.11383364195423092,,,,,
ess,TabPFN,hypergraph,50,50,0.62090186342,0.08299487127431375,0.6855285882468894,0.02865996685545023,0.06462672482688947,0.04121195313195867,0.08917465046951298,,,,,
ess,TabPFN,hb_graph,50,50,0.6270894788,0.077257929648459,0.7065634961101699,0.02762306833024549,0.0794740173101699,0.05707496299163931,0.10221061924749081,,,,,
hpa,LogisticRegression,pairwise,50,50,0.15382315618,0.03497083455696544,0.13912525237965903,0.014427411725345594,-0.014697903800340972,-0.02510720198516802,-0.004596432186486495,,,,,
hpa,LogisticRegression,hypergraph,50,50,0.20787686628,0.04416122065316621,0.20339750569349033,0.02658990298381366,-0.004479360586509662,-0.018954417191903994,0.009474614854613686,,,,,
hpa,LogisticRegression,hb_graph,50,50,0.22205791664000002,0.047536689970560764,0.2228754459025784,0.03311991735581428,0.000817529262578387,-0.015520647002517223,0.01692015396722672,,,,,
hpa,RBF-SVM,pairwise,50,50,0.20856611528,0.07935837178209594,0.2141806134810503,0.027365363800851604,0.005614498201050311,-0.018115281360688767,0.02763990001460313,,,,,
hpa,RBF-SVM,hypergraph,50,50,0.25864919198,0.07015253414799924,0.27173615777252635,0.04627292726244704,0.013086965792526328,-0.010320035396796356,0.036135976730022994,,,,,
hpa,RBF-SVM,hb_graph,50,50,0.26469016549999996,0.0689897555893468,0.27109708069672417,0.04334182214585888,0.0064069151967242055,-0.015313225522900709,0.028744528434062194,,,,,
hpa,MLP,pairwise,50,50,0.18020258562,0.08980328147191764,0.17209289738527814,0.04035681629024379,-0.008109688234721857,-0.035868848620475895,0.01763823185951366,,,,,
hpa,MLP,hypergraph,50,50,0.30511981422,0.08552513955205315,0.3415665231234417,0.08129873212894954,0.036446708903441705,0.003850517921729372,0.06868547466132072,,,,,
hpa,MLP,hb_graph,50,50,0.28772827214,0.08640432914033037,0.3240845602184196,0.08023555965496583,0.03635628807841956,0.003196335577358356,0.06812186499695735,,,,,
hpa,RandomForest,pairwise,50,50,0.28261566367999996,0.07306039100531324,0.3328886954087913,0.050262653916938516,0.05027303172879133,0.02547946950700088,0.0740633806245891,,,,,
hpa,RandomForest,hypergraph,50,50,0.35240058962,0.08583126475072105,0.39786580856646414,0.0630180120419302,0.04546521894646416,0.01678918980725431,0.07452693483044087,,,,,
hpa,RandomForest,hb_graph,50,50,0.38718478406,0.09542987673369083,0.41989017786366845,0.06337063616151264,0.03270539380366844,0.0007680418327763816,0.0636512161271774,,,,,
hpa,XGBoost,pairwise,50,50,0.28128485261999997,0.078651568945713,0.3367505551683878,0.05289290899174501,0.05546570254838784,0.028711359151113267,0.0801990519667612,,,,,
hpa,XGBoost,hypergraph,50,50,0.36789009062,0.09652291624554889,0.40802722680597603,0.06230404078769836,0.04013713618597603,0.00791863861532516,0.0723952650110648,,,,,
hpa,XGBoost,hb_graph,50,50,0.37934169836,0.10346818514685666,0.4286971486560045,0.06626044662059832,0.04935545029600452,0.014639352110331145,0.08285247383082502,,,,,
hpa,LightGBM,pairwise,50,50,0.26803947104,0.07303991440816202,0.3337691808072643,0.0529891900783994,0.06572970976726433,0.04031727443740845,0.09016836457329437,,,,,
hpa,LightGBM,hypergraph,50,50,0.36135477613999994,0.10677852355445844,0.3856688954510774,0.06363550300705005,0.024314119311077464,-0.009396097048444173,0.058633307114214335,,,,,
hpa,LightGBM,hb_graph,50,50,0.38190011182,0.11264413617901942,0.4195616685696814,0.06931028653190094,0.03766155674968141,0.0019868119119651833,0.07433932193093494,,,,,
hpa,TabPFN,pairwise,50,50,0.29937467555999997,0.08096888449167958,0.36035547890747344,0.05552956229554884,0.06098080334747347,0.033765399487609156,0.08762216254054297,,,,,
hpa,TabPFN,hypergraph,50,50,0.40302192696000005,0.10463908353828877,0.46860732596807236,0.061607858710394876,0.06558539900807231,0.03232443443376417,0.09826174167731999,,,,,
hpa,TabPFN,hb_graph,50,50,0.4370522039200001,0.11124057011551894,0.510937316649156,0.06191808934036705,0.07388511272915588,0.03879286258239511,0.10775816102744934,,,,,
chembl,LogisticRegression,pairwise,50,50,0.12142061157999999,0.028603158419128152,0.11972291562511839,0.019803651680522314,-0.0016976959548816034,-0.011131197679504011,0.007835284951094302,,,,,
chembl,LogisticRegression,hypergraph,50,50,0.202473483,0.05993053081075741,0.19731865776317623,0.03632145348833164,-0.005154825236823785,-0.024089132839809513,0.01379208559010008,,,,,
