task,model,contrast,delta_group,delta_random,delta_change,dz_group,dz_random,dz_change,split_counts_group,split_counts_random
Drug target (ChEMBL),LogisticRegression,HB-graph - hypergraph,+0.050,+0.050,-0.000,1.29,1.50,+0.21,45/5,48/2
Drug target (ChEMBL),LogisticRegression,HB-graph - pairwise,+0.131,+0.127,-0.003,1.87,2.43,+0.56,49/1,50/0
Drug target (ChEMBL),RBF-SVM,Hypergraph - pairwise,+0.096,+0.067,-0.029,1.58,1.66,+0.08,49/1,47/3
Drug target (ChEMBL),RBF-SVM,HB-graph - hypergraph,+0.004,+0.004,-0.000,0.08,0.13,+0.04,27/23,30/20
Drug target (ChEMBL),RBF-SVM,HB-graph - pairwise,+0.099,+0.071,-0.029,1.41,1.59,+0.18,47/3,48/2
Drug target (ChEMBL),MLP,Hypergraph - pairwise,+0.094,+0.104,+0.010,1.63,2.13,+0.50,49/1,49/1
Drug target (ChEMBL),MLP,HB-graph - hypergraph,+0.042,+0.020,-0.022,0.58,0.32,-0.26,34/16,29/21
Drug target (ChEMBL),MLP,HB-graph - pairwise,+0.135,+0.123,-0.012,1.57,2.28,+0.70,49/1,50/0
Drug target (ChEMBL),RandomForest,Hypergraph - pairwise,+0.035,+0.038,+0.003,0.59,0.74,+0.16,38/12,40/10
Drug target (ChEMBL),RandomForest,HB-graph - hypergraph,+0.070,+0.060,-0.010,1.52,1.54,+0.02,47/3,46/4
Drug target (ChEMBL),RandomForest,HB-graph - pairwise,+0.105,+0.099,-0.007,1.49,1.84,+0.34,47/3,47/3
Drug target (ChEMBL),XGBoost,Hypergraph - pairwise,+0.063,+0.041,-0.022,1.08,0.90,-0.18,43/7,37/13
Drug target (ChEMBL),XGBoost,HB-graph - hypergraph,+0.025,+0.047,+0.022,0.52,1.30,+0.78,37/13,44/6
Drug target (ChEMBL),XGBoost,HB-graph - pairwise,+0.088,+0.088,-0.000,1.32,1.80,+0.48,45/5,49/1
Drug target (ChEMBL),LightGBM,Hypergraph - pairwise,+0.027,+0.025,-0.002,0.41,0.48,+0.07,30/20,37/13
Drug target (ChEMBL),LightGBM,HB-graph - hypergraph,+0.037,+0.035,-0.002,0.71,0.79,+0.07,36/14,41/9
Drug target (ChEMBL),LightGBM,HB-graph - pairwise,+0.064,+0.060,-0.004,0.98,1.01,+0.03,40/10,41/9
Drug target (ChEMBL),TabPFN,Hypergraph - pairwise,+0.123,+0.103,-0.019,2.22,1.84,-0.38,49/1,47/3
Drug target (ChEMBL),TabPFN,HB-graph - hypergraph,+0.039,+0.046,+0.007,0.83,1.44,+0.61,42/8,49/1
Drug target (ChEMBL),TabPFN,HB-graph - pairwise,+0.162,+0.149,-0.013,2.06,2.36,+0.30,50/0,50/0
