group_size,n_proteins,n_essential,ess_rate_pct
1.0,924,127,13.74
2.0,390,67,17.18
3.0,228,36,15.79
4.0,149,24,16.11
5.0,199,21,10.55
6.0,162,33,20.37
7.0,137,30,21.9
8.0,104,6,5.77
9.0,96,10,10.42
10.0,90,12,13.33
11.0,73,11,15.07
12.0,96,11,11.46
13.0,103,22,21.36
14.0,98,24,24.49
15.0,30,4,13.33
16.0,123,16,13.01
17.0,51,6,11.76
18.0,70,20,28.57
19.0,74,23,31.08
20.0,39,7,17.95
21.0,84,7,8.33
22.0,66,4,6.06
23.0,23,5,21.74
24.0,71,7,9.86
25.0,93,3,3.23
28.0,28,3,10.71
30.0,60,45,75.0
31.0,31,1,3.23
34.0,34,3,8.82
36.0,36,17,47.22
41.0,121,35,28.93
44.0,44,2,4.55
48.0,48,39,81.25
49.0,42,7,16.67
51.0,51,0,0.0
52.0,51,49,96.08
53.0,53,0,0.0
56.0,56,21,37.5
59.0,59,9,15.25
71.0,69,1,1.45
74.0,74,34,45.95
82.0,81,8,9.88
91.0,90,1,1.11
117.0,117,5,4.27
119.0,116,13,11.21
220.0,220,47,21.36
