rank,type,feature,mean,std
1,real,stoich_MedianRatio,0.0470724114305928,0.0264033760615463
2,real,base_Degree,0.0289407936670298,0.0210180289414632
3,real,stoich_MedComplexSize,0.0232875298098062,0.0196937334313557
4,real,stoich_RangeComplexSize,0.0195263734924962,0.0211679645337591
5,real,protein_MedianUniqueRatio,0.016644237420177,0.0197097339047731
6,real,stoich_RangeRatio,0.0134397997125415,0.0155529352913412
7,real,protein_MedComplexNodes,0.0131920332078871,0.0162887874091287
8,real,stoich_AvgNeighbourDegreeStoich,0.0118061897867359,0.0170975074832454
9,real,protein_RangeUniqueRatio,0.0111602179915513,0.0178629557657341
10,real,base_UniquePartners,0.0077138286943774,0.0156532051534414
11,real,base_AvgNeighbourDegree,0.0056814111847338,0.0143241649202489
12,real,base_TriangleCount,0.004915518880442,0.0114252695414353
13,real,stoich_WeightedTriangles,0.0044420797937379,0.0148926523306136
14,real,base_LocalClustCoeff,0.0042998125197239,0.0072647054551128
15,real,protein_RangeComplexNodes,0.001763083562525,0.0081872251719678
16,NOISE,rand_1,0.0015403818947945,0.0162223022928824
17,NOISE,rand_3,-0.00182396693294,0.0141005212386539
18,NOISE,rand_0,-0.0058547143633743,0.0210452474822915
19,NOISE,rand_2,-0.007555935724527,0.0147261996556298
