rank,type,feature,mean,std
1,real,pair_LocalClustCoeff,0.0469418953518228,0.0280118383215222
2,real,pair_AvgNeighborDegree,0.0311813620201753,0.0297394126622683
3,real,pair_Degree,0.0292886526350034,0.0266678445927205
4,real,pair_TriangleCount,0.0190418570905642,0.0194541697521477
5,NOISE,rand_3,0.0046578433588135,0.0200443317673888
6,NOISE,rand_0,0.0030194102331561,0.017170025727205
7,NOISE,rand_1,0.0019969159852627,0.0205469492439458
8,NOISE,rand_2,0.001008000466969,0.021360494988502
