split_index,hypergraph_pr_auc,pairwise_pr_auc
12,0.6004894036552675,0.5512825167943427
14,0.5724486735995746,0.5199353071955759
9,0.5690372495244338,0.536052058715883
4,0.566328861727716,0.5452536735294872
11,0.5626829941826363,0.5408977094332015
10,0.5522405472989632,0.526274686542837
5,0.5365068568604608,0.5323743758341034
3,0.5250655889953808,0.5146612851205117
2,0.5109595937138657,0.473425114712954
7,0.5083969706887013,0.4463829659076924
13,0.5006033273634576,0.48900062862529525
8,0.49410571445241847,0.47464365316661417
1,0.4897867586825001,0.4799751432001701
6,0.43808788490545797,0.40747247105134443
15,0.3815350801316155,0.3585749035732654
