feature,mean_abs_shap,std_abs_shap,split_12,split_14,split_9,split_4,split_11,split_10,split_5,split_3,split_2,split_7,split_13,split_8,split_1,split_6,split_15,rank
pair_TriangleCount,0.12365900106728378,0.006424709345847926,0.1274624774864752,0.11962351494514771,0.11048393104445947,0.12739485169102713,0.13403333421570837,0.12153977701839942,0.11242118906979504,0.12746923955249945,0.13065920294206887,0.1222889699071875,0.12073806487011216,0.1299831495530027,0.11924964697826716,0.12259182496575051,0.12894584176935617,1
pair_Degree,0.05345236990578268,0.005318970782463946,0.0535121721653785,0.05994028850566256,0.05745690674645564,0.05197885229754133,0.04588774182747794,0.05811122929551443,0.05353626642528146,0.04904730338132008,0.06423355569183262,0.053853169174918586,0.04813130707589169,0.05874319571595483,0.05170688876455094,0.044175912620558346,0.05147075889840115,2
pair_LocalClustCoeff,0.05259288958098718,0.0036266570024984443,0.053553054555777156,0.05759223127062314,0.05341852213139814,0.05379388192263225,0.058818970703851954,0.048017331909223256,0.04626281565111854,0.05545499742545819,0.04640208630053241,0.052225989527762216,0.054462173135855566,0.04973389674620656,0.0526477215534198,0.05552208540758814,0.050987585473360346,3
pair_AvgNeighborDegree,0.04629550753118203,0.004065365405012795,0.052730266998174985,0.043944620368317686,0.05440962975475611,0.04889943809446823,0.043652997312510974,0.046882763999031504,0.05088709555794786,0.04082950697276501,0.04196774757201303,0.043809684933620655,0.04184180176545352,0.046302165594055505,0.04268677009475261,0.04977010030629017,0.04581802364357255,4
