feature,mean,std,median,n,is_noise
base_Degree,0.09938945908004622,0.0669212547139325,0.09275747423797724,15,False
protein_MedComplexNodes,0.06722198592322912,0.041865190066090574,0.06232250213643524,15,False
stoich_MedianRatio,0.0646297459541583,0.04548193443398617,0.06452672052547467,15,False
protein_MedianUniqueRatio,0.06437788823703226,0.051775299402102674,0.05491638267009571,15,False
stoich_MedComplexSize,0.05620172212165569,0.03370904578783481,0.046741255051936895,15,False
stoich_AvgNeighbourDegreeStoich,0.05337978878192114,0.04346767636501405,0.04946977477277077,15,False
stoich_WeightedTriangles,0.034565248200868565,0.032695820589151534,0.03178810433592978,15,False
base_AvgNeighbourDegree,0.02561704276822997,0.022643809284661875,0.023486080265239313,15,False
base_LocalClustCoeff,0.021631823049563997,0.015394574295623666,0.01625311668778595,15,False
base_TriangleCount,0.016590662241804277,0.01603932883191296,0.01612205568425823,15,False
base_UniquePartners,0.003870495037056522,0.01451275381919941,0.0031428479637224394,15,False
stoich_RangeComplexSize,-0.0004524494353036408,0.00483700616936037,0.0010008223219849454,15,False
protein_RangeUniqueRatio,-0.0022683680002930054,0.0105478480909209,-0.0022635493071835764,15,False
protein_RangeComplexNodes,-0.0027364924220241002,0.008244129072080851,-0.003933361308653816,15,False
stoich_RangeRatio,-0.002926791633867211,0.00606594319762903,0.00023797221012888392,15,False
[noise × 4],-0.0014696548466878532,0.011143790340340496,-0.000556921049066754,60,True
rand_0,0.0001077814415919773,0.013510059198014873,-0.0038084702557256212,15,True
rand_1,-0.0031945916685773294,0.008704522328279405,-0.00018513857050017624,15,True
rand_2,-0.003654665051826114,0.011181484157918725,-0.00015645764058229704,15,True
rand_3,0.0008628558920600533,0.009886438585288001,0.00045015198763712625,15,True
