database,task,arm,feature,n_confirmed,n_tentative,n_rejected,confirmation_rate,mean_rank
corum,chembl,pair,pair_AvgNeighborDegree,15,0,0,1.0,1.0
corum,chembl,pair,pair_Degree,15,0,0,1.0,1.0
corum,chembl,pair,pair_LocalClustCoeff,15,0,0,1.0,1.0
corum,chembl,pair,pair_TriangleCount,15,0,0,1.0,1.0
corum,chembl,hyper,base_AvgNeighbourDegree,15,0,0,1.0,1.0
corum,chembl,hyper,base_Degree,15,0,0,1.0,1.0
corum,chembl,hyper,base_LocalClustCoeff,15,0,0,1.0,1.0
corum,chembl,hyper,base_TriangleCount,15,0,0,1.0,1.0
corum,chembl,hyper,base_UniquePartners,15,0,0,1.0,1.0
corum,chembl,hyper,protein_MedComplexNodes,15,0,0,1.0,1.0
corum,chembl,hyper,protein_MedianUniqueRatio,15,0,0,1.0,1.0
corum,chembl,hyper,protein_RangeComplexNodes,15,0,0,1.0,1.0
corum,chembl,hyper,protein_RangeUniqueRatio,15,0,0,1.0,1.0
corum,chembl,hyper,stoich_MedComplexSize,15,0,0,1.0,1.0
corum,chembl,hyper,stoich_MedianRatio,15,0,0,1.0,1.0
corum,chembl,hyper,stoich_AvgNeighbourDegreeStoich,9,4,2,0.6,1.4
corum,chembl,hyper,stoich_WeightedTriangles,0,0,15,0.0,2.4
corum,chembl,hyper,stoich_RangeRatio,0,0,15,0.0,3.4
corum,chembl,hyper,stoich_RangeComplexSize,0,0,15,0.0,4.4
corum,hpa,pair,pair_AvgNeighborDegree,15,0,0,1.0,1.0
corum,hpa,pair,pair_Degree,15,0,0,1.0,1.0
corum,hpa,pair,pair_LocalClustCoeff,15,0,0,1.0,1.0
corum,hpa,pair,pair_TriangleCount,15,0,0,1.0,1.0
corum,hpa,hyper,base_AvgNeighbourDegree,15,0,0,1.0,1.0
corum,hpa,hyper,base_Degree,15,0,0,1.0,1.0
corum,hpa,hyper,base_LocalClustCoeff,15,0,0,1.0,1.0
corum,hpa,hyper,base_TriangleCount,15,0,0,1.0,1.0
corum,hpa,hyper,base_UniquePartners,15,0,0,1.0,1.0
corum,hpa,hyper,protein_MedComplexNodes,15,0,0,1.0,1.0
corum,hpa,hyper,protein_MedianUniqueRatio,15,0,0,1.0,1.0
corum,hpa,hyper,protein_RangeComplexNodes,15,0,0,1.0,1.0
corum,hpa,hyper,protein_RangeUniqueRatio,15,0,0,1.0,1.0
corum,hpa,hyper,stoich_MedComplexSize,15,0,0,1.0,1.0
corum,hpa,hyper,stoich_MedianRatio,15,0,0,1.0,1.0
corum,hpa,hyper,stoich_AvgNeighbourDegreeStoich,8,4,3,0.5333333333333333,1.4666666666666666
corum,hpa,hyper,stoich_WeightedTriangles,0,0,15,0.0,2.466666666666667
corum,hpa,hyper,stoich_RangeRatio,0,0,15,0.0,3.533333333333333
corum,hpa,hyper,stoich_RangeComplexSize,0,0,15,0.0,4.4
corum,ess,pair,pair_AvgNeighborDegree,15,0,0,1.0,1.0
corum,ess,pair,pair_Degree,15,0,0,1.0,1.0
corum,ess,pair,pair_LocalClustCoeff,15,0,0,1.0,1.0
corum,ess,pair,pair_TriangleCount,15,0,0,1.0,1.0
corum,ess,hyper,base_AvgNeighbourDegree,15,0,0,1.0,1.0
corum,ess,hyper,base_LocalClustCoeff,15,0,0,1.0,1.0
corum,ess,hyper,base_TriangleCount,15,0,0,1.0,1.0
corum,ess,hyper,base_UniquePartners,15,0,0,1.0,1.0
corum,ess,hyper,protein_MedComplexNodes,15,0,0,1.0,1.0
corum,ess,hyper,protein_MedianUniqueRatio,15,0,0,1.0,1.0
corum,ess,hyper,protein_RangeComplexNodes,15,0,0,1.0,1.0
corum,ess,hyper,protein_RangeUniqueRatio,15,0,0,1.0,1.0
corum,ess,hyper,base_Degree,14,1,0,0.9333333333333333,1.0666666666666667
corum,ess,hyper,stoich_MedianRatio,0,0,15,0.0,2.3333333333333335
corum,ess,hyper,stoich_MedComplexSize,0,0,15,0.0,2.7333333333333334
corum,ess,hyper,stoich_WeightedTriangles,0,0,15,0.0,4.0
corum,ess,hyper,stoich_AvgNeighbourDegreeStoich,0,0,15,0.0,4.933333333333334
corum,ess,hyper,stoich_RangeRatio,0,0,15,0.0,6.133333333333334
corum,ess,hyper,stoich_RangeComplexSize,0,0,15,0.0,6.8
