database,task,model,split_index,rand_pr_auc_mean,rand_pr_auc_std,pair_pr_auc_mean,pair_pr_auc_std,hyper_pr_auc_mean,hyper_pr_auc_std,rand_f1_mean,rand_f1_std,pair_f1_mean,pair_f1_std,hyper_f1_mean,hyper_f1_std
corum,hpa,RandomForest,1,0.1176339831005151,0.0053898881137989,0.3916198715058813,0.028614468482003,0.458274146742726,0.0109246638916364,0.0448650297175766,0.0657850123483347,0.3816274847336322,0.0251059666583791,0.4406713003193966,0.0082020760106228
corum,hpa,RandomForest,2,0.1292241077304785,0.0158331972750664,0.2948992220310068,0.0165254086408587,0.3826985202419878,0.0130607566251928,0.0460084856565718,0.0628859069555111,0.3425298130018886,0.0041925463176582,0.4053028561891652,0.0108731435963953
corum,hpa,RandomForest,3,0.1255716291898963,0.0125857886379318,0.3638352726903789,0.0209589563581672,0.5114529161670561,0.0149094358847017,0.0793296151222879,0.0762409269667964,0.3416975193955691,0.0356884510289418,0.4436855320274547,0.0080603756614696
corum,hpa,RandomForest,4,0.1723851105866331,0.0109038603919933,0.3508801487709159,0.0147936826829442,0.436938776196615,0.0140829369029006,0.1035380802666714,0.092943088112056,0.415812038404271,0.0902664748934661,0.4500680251551469,0.0031353485137126
corum,hpa,RandomForest,5,0.1066932932888064,0.0114366830732174,0.3044013870595319,0.0156001486814392,0.3841964443662048,0.0159587504675223,0.0455141899261225,0.0576003940388148,0.3376706000369426,0.0164796461051924,0.3575221836026857,0.0059548643301132
corum,hpa,RandomForest,6,0.1244057348487168,0.0144134483143374,0.301063950196671,0.019560170136402,0.3988772422814501,0.0172094340270884,0.1293682353216415,0.0865143968297221,0.3346176211022342,0.0470783897095562,0.3615432302369856,0.0066197531642414
corum,hpa,RandomForest,7,0.1085136373257798,0.0091598992462875,0.2950454866202332,0.0182578982832586,0.3879027764099397,0.0138069677633974,0.0410911513837593,0.0484229869609667,0.3120162554407131,0.0519804681664543,0.4001599235158662,0.0096533229142615
corum,hpa,RandomForest,8,0.1262248680100386,0.0093013315140793,0.398765820231679,0.0246511642988922,0.4963856070854981,0.0086152692323652,0.0801464327372295,0.0767152941757162,0.3700500664805604,0.0500529702368349,0.4650241301277516,0.0071137965188571
corum,hpa,RandomForest,9,0.0894027362110969,0.0099219662013994,0.2984045814922509,0.0160823141229474,0.4487930984914812,0.0155883023128871,0.0411615299800849,0.0500815798061631,0.2908027590375008,0.047941225618589,0.3943158894699264,0.0119718589661088
corum,hpa,RandomForest,10,0.1171962306960508,0.0119633194165721,0.3619991751540407,0.0122507058668449,0.419459219490626,0.01733198428845,0.0712391885999589,0.0719271761210712,0.3773956913042448,0.0096733054998296,0.4436400692387622,0.0097406351999909
corum,hpa,RandomForest,11,0.0847427516502769,0.0108271185575898,0.2374028478680271,0.0183437667764349,0.2202450809217982,0.0101350269714783,0.0530357498779481,0.0511350349281056,0.2855694007875459,0.0137929474575879,0.2798262126213418,0.0061701110503518
corum,hpa,RandomForest,12,0.1256139842295695,0.007217483132998,0.3145158940720467,0.0165184944824001,0.4329184055840919,0.0157929505561296,0.0689891186072034,0.0692393291421332,0.3422064545605328,0.0750609818265134,0.4121267000962224,0.0095880559330101
corum,hpa,RandomForest,13,0.1456965519767193,0.0134152122831523,0.3699307272667145,0.0208455433231909,0.4595654055048963,0.017946198950138,0.0530626871912613,0.0740876541895461,0.3802265433190773,0.0569794444080181,0.436675215713188,0.0045884021044361
corum,hpa,RandomForest,14,0.1130344681358795,0.0119235343571117,0.3274482042048395,0.0165708025279556,0.4313213060084037,0.0125609959543546,0.0363570127530475,0.0285310222076337,0.3661161103700142,0.0102311326881017,0.4217316087750519,0.0054072047216659
corum,hpa,RandomForest,15,0.1001639356608387,0.01367245118942,0.2801636770964854,0.0208229260082638,0.3928278897863841,0.0098946569768483,0.0510818154284768,0.0629560951177567,0.2876089710328259,0.0069020227714473,0.4064341914263531,0.0096462663004115
corum,ess,RandomForest,1,0.1779399017790116,0.0113454095096559,0.3040082718355007,0.0078939755471942,0.3412388833727012,0.0026295052653366,0.0716370880203399,0.0871113953069775,0.3731439586069965,0.0068580082335884,0.4145613190081663,0.0080253061238967
