model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
RBF-SVM,Kernel,hb_graph,16,0.19223083021667253,2714,674,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,17,0.13286384217640973,2667,721,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,17,0.23854959076514315,2667,721,8,42,"{'clf__C': 1000, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,17,0.2725177658943476,2667,721,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,18,0.14483613163808576,2728,660,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,18,0.16993646104226875,2728,660,8,42,"{'clf__C': 100, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,18,0.1936177716351566,2728,660,14,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,19,0.12311228036415908,2763,625,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,19,0.19556990564429788,2763,625,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,19,0.19910428074471115,2763,625,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,20,0.14337737995837257,2737,651,4,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,20,0.19089397500635819,2737,651,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,20,0.17873971695345792,2737,651,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,21,0.1526047394869223,2738,650,4,42,"{'clf__C': 1000, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,21,0.33870802419550833,2738,650,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,21,0.43441242976363265,2738,650,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,22,0.21539291000518276,2684,704,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,22,0.22325289359479727,2684,704,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,22,0.17634999537293652,2684,704,14,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,23,0.10951575958626444,2689,699,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,23,0.1406221571285582,2689,699,8,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hb_graph,23,0.13116832164229902,2689,699,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,24,0.13070226894232342,2679,709,4,42,"{'clf__C': 100, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,24,0.2843495977198313,2679,709,8,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hb_graph,24,0.23500361709392395,2679,709,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,25,0.161092275736157,2736,652,4,42,"{'clf__C': 1000, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,25,0.227109671940221,2736,652,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,25,0.23908131557605436,2736,652,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,26,0.10212283810553131,2752,636,4,42,"{'clf__C': 100, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,26,0.150833829378874,2752,636,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,26,0.1243234972287309,2752,636,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,27,0.1296072249267157,2686,702,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,27,0.16533084670313827,2686,702,8,42,"{'clf__C': 10, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,27,0.14526981832269958,2686,702,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,28,0.12120452903227424,2749,639,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,28,0.22845591699681828,2749,639,8,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,28,0.23310289711646032,2749,639,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,29,0.1456415851808473,2656,732,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,29,0.1911443951588301,2656,732,8,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,29,0.19166242487897805,2656,732,14,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,30,0.1837507276430792,2764,624,4,42,"{'clf__C': 1000, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,30,0.2694863856459267,2764,624,8,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
