model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
RBF-SVM,Kernel,pairwise,1,0.1661110257777504,2701,687,4,42,"{'clf__C': 1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,1,0.21555190148245862,2701,687,8,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hb_graph,1,0.2266544433676872,2701,687,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,2,0.18823013158372742,2673,715,4,42,"{'clf__C': 1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,2,0.2556883093040252,2673,715,8,42,"{'clf__C': 1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hb_graph,2,0.18141801380550682,2673,715,14,42,"{'clf__C': 0.1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,pairwise,3,0.2123665329562094,2665,723,4,42,"{'clf__C': 0.1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,3,0.2373858741436012,2665,723,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,3,0.1992804560260077,2665,723,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,4,0.15337219862341242,2749,639,4,42,"{'clf__C': 1000, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,4,0.18036503465798787,2749,639,8,42,"{'clf__C': 100, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,4,0.2679150360218838,2749,639,14,42,"{'clf__C': 1000, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,5,0.3959639166465207,2757,631,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,5,0.18757905508087871,2757,631,8,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,5,0.18073503065634589,2757,631,14,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,6,0.19292820041044537,2682,706,4,42,"{'clf__C': 1000, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,6,0.3031409894998042,2682,706,8,42,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hb_graph,6,0.29841744234073087,2682,706,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,7,0.14307772010529934,2760,628,4,42,"{'clf__C': 1000, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,7,0.3335463442084204,2760,628,8,42,"{'clf__C': 100, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,7,0.37944320113707486,2760,628,14,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,8,0.16381131038225927,2764,624,4,42,"{'clf__C': 1000, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,8,0.23451897713286815,2764,624,8,42,"{'clf__C': 100, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,8,0.411790375401366,2764,624,14,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,9,0.11067300464568863,2748,640,4,42,"{'clf__C': 1000, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,9,0.1427180281334327,2748,640,8,42,"{'clf__C': 1000, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,9,0.13316232315691665,2748,640,14,42,"{'clf__C': 1000, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,pairwise,10,0.3741286073178536,2696,692,4,42,"{'clf__C': 1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,10,0.2588590074487202,2696,692,8,42,"{'clf__C': 1000, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,10,0.2375260572745086,2696,692,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,11,0.12466157769586511,2801,587,4,42,"{'clf__C': 1, 'clf__gamma': 1}"
RBF-SVM,Kernel,hypergraph,11,0.2588095153367206,2801,587,8,42,"{'clf__C': 100, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,11,0.2938053201886697,2801,587,14,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,pairwise,12,0.17141547909844979,2740,648,4,42,"{'clf__C': 1000, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,12,0.25337427476339563,2740,648,8,42,"{'clf__C': 1000, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,12,0.2476707095523723,2740,648,14,42,"{'clf__C': 0.1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,pairwise,13,0.16246941179630894,2636,752,4,42,"{'clf__C': 100, 'clf__gamma': 0.1}"
RBF-SVM,Kernel,hypergraph,13,0.2167387149513647,2636,752,8,42,"{'clf__C': 1, 'clf__gamma': 0.1}"
