regime,split_index,n_test,frac_test_with_train_groupmate,frac_test_with_train_complexmate
random-protein,1,662,0.7824773413897281,0.9395770392749244
random-protein,2,662,0.8126888217522659,0.9395770392749244
random-protein,3,662,0.8157099697885196,0.9350453172205438
random-protein,4,662,0.8277945619335347,0.9441087613293051
random-protein,5,662,0.8066465256797583,0.9290030211480362
random-protein,6,662,0.8187311178247734,0.9395770392749244
random-protein,7,662,0.7960725075528701,0.9531722054380665
random-protein,8,662,0.8036253776435045,0.9063444108761329
random-protein,9,662,0.8021148036253777,0.9290030211480362
random-protein,10,662,0.8187311178247734,0.9350453172205438
random-protein,11,662,0.8308157099697885,0.9244712990936556
random-protein,12,662,0.8308157099697885,0.93202416918429
random-protein,13,662,0.8308157099697885,0.9425981873111783
random-protein,14,662,0.8353474320241692,0.9259818731117825
random-protein,15,662,0.7960725075528701,0.9123867069486404
random-protein,16,662,0.7930513595166163,0.9410876132930514
random-protein,17,662,0.8036253776435045,0.9486404833836858
random-protein,18,662,0.7900302114803626,0.93202416918429
random-protein,19,662,0.8006042296072508,0.93202416918429
random-protein,20,662,0.824773413897281,0.9425981873111783
random-protein,21,662,0.8081570996978852,0.9169184290030211
random-protein,22,662,0.8323262839879154,0.9229607250755287
random-protein,23,662,0.8081570996978852,0.947129909365559
random-protein,24,662,0.7960725075528701,0.9365558912386707
random-protein,25,662,0.8111782477341389,0.9395770392749244
random-protein,26,662,0.824773413897281,0.9350453172205438
random-protein,27,662,0.8202416918429003,0.9335347432024169
random-protein,28,662,0.8172205438066465,0.9577039274924471
random-protein,29,662,0.8051359516616314,0.9274924471299094
random-protein,30,662,0.8172205438066465,0.9244712990936556
random-protein,31,662,0.824773413897281,0.9290030211480362
random-protein,32,662,0.8474320241691843,0.9441087613293051
random-protein,33,662,0.824773413897281,0.945619335347432
random-protein,34,662,0.8323262839879154,0.9063444108761329
random-protein,35,662,0.8368580060422961,0.9350453172205438
random-protein,36,662,0.8006042296072508,0.9441087613293051
random-protein,37,662,0.8021148036253777,0.9410876132930514
random-protein,38,662,0.8383685800604229,0.9290030211480362
random-protein,39,662,0.8262839879154078,0.9365558912386707
random-protein,40,662,0.7870090634441088,0.9365558912386707
random-protein,41,662,0.824773413897281,0.9410876132930514
random-protein,42,662,0.8187311178247734,0.9018126888217523
random-protein,43,662,0.7990936555891238,0.9274924471299094
random-protein,44,662,0.8111782477341389,0.93202416918429
random-protein,45,662,0.8353474320241692,0.9425981873111783
random-protein,46,662,0.8338368580060423,0.9395770392749244
random-protein,47,662,0.7915407854984894,0.93202416918429
random-protein,48,662,0.8413897280966768,0.9395770392749244
random-protein,49,662,0.8202416918429003,0.9290030211480362
random-protein,50,662,0.823262839879154,0.9516616314199395
group-atomic (reference),1,650,0.0,0.7907692307692308
group-atomic (reference),2,612,0.0,0.7647058823529411
group-atomic (reference),3,692,0.0,0.8338150289017341
group-atomic (reference),4,563,0.0,0.8152753108348135
group-atomic (reference),5,758,0.0,0.7493403693931399
group-atomic (reference),6,666,0.0,0.7297297297297297
group-atomic (reference),7,626,0.0,0.7939297124600639
group-atomic (reference),8,639,0.0,0.7527386541471048
group-atomic (reference),9,655,0.0,0.7877862595419848
group-atomic (reference),10,670,0.0,0.8253731343283582
group-atomic (reference),11,638,0.0,0.7915360501567398
group-atomic (reference),12,638,0.0,0.7068965517241379
group-atomic (reference),13,686,0.0,0.8104956268221575
group-atomic (reference),14,657,0.0,0.7442922374429224
group-atomic (reference),15,612,0.0,0.7973856209150327
group-atomic (reference),16,667,0.0,0.6776611694152923
group-atomic (reference),17,651,0.0,0.7772657450076805
group-atomic (reference),18,668,0.0,0.8413173652694611
group-atomic (reference),19,681,0.0,0.6784140969162996
group-atomic (reference),20,739,0.0,0.6400541271989174
group-atomic (reference),21,620,0.0,0.7693548387096775
group-atomic (reference),22,673,0.0,0.8083209509658247
group-atomic (reference),23,566,0.0,0.7791519434628975
group-atomic (reference),24,569,0.0,0.7644991212653779
group-atomic (reference),25,613,0.0,0.8384991843393148
group-atomic (reference),26,704,0.0,0.7713068181818182
group-atomic (reference),27,597,0.0,0.7872696817420436
group-atomic (reference),28,594,0.0,0.8131313131313131
group-atomic (reference),29,703,0.0,0.7994310099573257
group-atomic (reference),30,601,0.0,0.800332778702163
group-atomic (reference),31,628,0.0,0.8152866242038217
group-atomic (reference),32,623,0.0,0.7993579454253612
group-atomic (reference),33,665,0.0,0.8210526315789474
group-atomic (reference),34,627,0.0,0.7942583732057417
group-atomic (reference),35,608,0.0,0.774671052631579
group-atomic (reference),36,676,0.0,0.7396449704142012
group-atomic (reference),37,582,0.0,0.8161512027491409
group-atomic (reference),38,619,0.0,0.7948303715670436
group-atomic (reference),39,616,0.0,0.7727272727272727
group-atomic (reference),40,691,0.0,0.8248914616497829
group-atomic (reference),41,708,0.0,0.6793785310734464
group-atomic (reference),42,586,0.0,0.7696245733788396
group-atomic (reference),43,684,0.0,0.7616959064327485
group-atomic (reference),44,649,0.0,0.7842835130970724
group-atomic (reference),45,578,0.0,0.8512110726643599
group-atomic (reference),46,655,0.0,0.6763358778625954
group-atomic (reference),47,561,0.0,0.7647058823529411
group-atomic (reference),48,605,0.0,0.7619834710743801
group-atomic (reference),49,617,0.0,0.7487844408427877
group-atomic (reference),50,684,0.0,0.7426900584795322
