split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff
1,2656,650,24.021084337349397,20.76923076923077,0.4505853931759801,0.4897959183673469,0.4666393011639022,0.4431818181818182,0.48611775946432995,0.4560260586319218,0.49862059237648687,0.5225225225225225,0.04803519920050675,0.03272660415517559,0.031981291212584695,0.07934070434070434,0.01947845830042777,0.012502832912156925
2,2694,612,23.01410541945063,25.0,0.5947261797143725,0.5761772853185596,0.4269846603074072,0.32666666666666666,0.41383618989061377,0.33447098976109213,0.49727161861178054,0.44660194174757284,-0.09745456110259193,-0.12957534357098677,0.07028695830437331,0.11993527508090618,-0.013148470416793456,0.08343542872116677
3,2614,692,23.182861514919665,24.13294797687861,0.6559754249763611,0.582010582010582,0.676463129598102,0.5858585858585859,0.6532744622147708,0.5882352941176471,0.6722408724222523,0.5742092457420924,0.0162654474458912,-0.007801336268489556,-0.004222257175849675,-0.011649340116493434,-0.02318866738333114,0.018966410207481466
4,2743,563,23.951877506379876,20.603907637655418,0.5454789599791956,0.5229681978798587,0.593568099174138,0.5547945205479452,0.5470084505016938,0.5222929936305732,0.5342432234879866,0.5209580838323353,-0.011235736491209014,-0.0020101140475233814,-0.05932487568615141,-0.033836436715609874,-0.04655964867244422,-0.012765227013707192
5,2548,758,24.175824175824175,20.71240105540897,0.3983867012964781,0.41887905604719766,0.45544077250464765,0.44324324324324327,0.47918228156098763,0.45892351274787535,0.48120727000600017,0.5,0.08282056870952209,0.08112094395280234,0.025766497501352514,0.05675675675675673,0.023741509056339982,0.002024988445012532
6,2640,666,24.28030303030303,19.81981981981982,0.404501154200363,0.4713375796178344,0.4451589118106806,0.4787234042553192,0.45422289102033236,0.4303030303030303,0.4498046999003111,0.4725274725274725,0.0453035456999481,0.0011898929096381128,0.004645788089630454,-0.00619593172784666,0.00906397920965174,-0.0044181911200212864
7,2680,626,22.910447761194032,25.399361022364218,0.5076135422942155,0.533678756476684,0.6173569169169748,0.546875,0.606771395085106,0.5517241379310345,0.6115394408742568,0.5307125307125307,0.10392589858004131,-0.002966225764153285,-0.005817476042717984,-0.01616246928746934,-0.010585521831868783,0.004768045789150799
8,2667,639,24.296962879640045,19.561815336463223,0.39772440547478344,0.4135593220338983,0.46648843597926104,0.49002849002849,0.4782378963222389,0.4682274247491639,0.42995629449215916,0.46794871794871795,0.032231889017375726,0.05438939591481967,-0.03653214148710188,-0.022079772079772075,0.011749460342977858,-0.048281601830079734
9,2651,655,23.198792908336475,24.12213740458015,0.5419337903215502,0.5412371134020618,0.4533671117424696,0.5570291777188329,0.47867105480417793,0.5682451253481894,0.469644698537566,0.5449275362318841,-0.07228909178398418,0.0036904228298222375,0.016277586795096444,-0.012101641486948811,0.025303943061708356,-0.009026356266611912
10,2636,670,22.91350531107739,25.223880597014926,0.6048164155675152,0.54627539503386,0.6334533939002571,0.5765765765765766,0.6502880223391111,0.5644444444444444,0.6639659706421286,0.588495575221239,0.05914955507461339,0.04222018018737894,0.030512576741871467,0.011918998644662393,0.01683462843885397,0.013677948303017495
11,2668,638,22.67616191904048,26.332288401253916,0.5299403273370854,0.5065274151436031,0.6098455831405476,0.5882352941176471,0.5937404644007521,0.5781990521327014,0.5709294162392664,0.5639810426540285,0.040989088902181,0.057453627510425376,-0.03891616690128119,-0.024254251463618592,-0.016105118739795476,-0.022811048161485714
