comparison,splits_file,n_splits,model,mean_diff,std_diff,cohens_dz,wins,losses,ties,p_greater,p_two_sided
hb_graph_vs_pairwise,ess_protein_splits.csv,50,LightGBM,0.031017941766955954,0.061933673598979576,0.5008251564051742,39,11,0,4.5107450535653015e-05,9.021490107130603e-05
hb_graph_vs_hypergraph,ess_protein_splits.csv,50,LightGBM,0.024806514845600005,0.048712537366008724,0.5092429215750486,35,15,0,0.003300223983405459,0.006600447966810918
hypergraph_vs_pairwise,ess_protein_splits.csv,50,LightGBM,0.006211426921355949,0.06731398047274713,0.09227543636155523,27,23,0,0.3359055168826828,0.6718110337653656
hyper_flag_vs_hypergraph,ess_protein_splits.csv,50,LightGBM,0.003571955472209979,0.036023021189576294,0.09915757630133389,33,17,0,0.016419568782134242,0.032839137564268484
hb_graph_vs_hyper_flag,ess_protein_splits.csv,50,LightGBM,0.021234559373390027,0.051204817144788015,0.41469847091430206,34,16,0,0.007673338916315053,0.015346677832630107
