feature,mean,std,median,min,max,n_splits,rank
pair_TriangleCount,0.272413805627769,0.07752786451180807,0.28813714795542145,0.06507624341092888,0.4077082107330507,50,1
pair_Degree,0.060991255313955495,0.07043645565271471,0.04074501156507839,-0.07605524963155978,0.2821250212089267,50,2
pair_AvgNeighborDegree,0.059283558918140224,0.04867384446220946,0.05113273344660261,-0.08687383132755414,0.17558361429401326,50,3
pair_LocalClustCoeff,0.04577000844337062,0.0266622829068957,0.041484038369746,-0.007752521839493265,0.11412458695093872,50,4
