split_index,n_train,n_test,train_ess_pct,n_isolated_test,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2582,417,24.3996901626646,191,30.69544364508393,0.3593157937500998,0.4587628865979381,0.3150842514328458,0.43537414965986393,0.04423154231725401,0.023388736938074195
2,2642,458,24.26192278576836,90,24.45414847161572,0.26206478730080307,0.32081911262798635,0.2990585250620724,0.3816793893129771,-0.03699373776126935,-0.06086027668499078
3,2562,449,24.74629195940671,179,25.83518930957684,0.31319440271984667,0.36363636363636365,0.2679750305261425,0.296875,0.045219372193704144,0.06676136363636365
4,2601,496,23.875432525951556,93,26.209677419354836,0.3291906206398967,0.46924829157175396,0.2661976966232167,0.32098765432098764,0.06299292401668,0.14826063725076633
5,2581,499,23.67299496319256,110,31.663326653306612,0.4397924047692935,0.5356371490280778,0.28414685731991646,0.20512820512820512,0.15564554744937703,0.3305089438998727
6,2567,517,24.503311258278146,106,25.338491295938105,0.29376184346294026,0.3942307692307692,0.26890559367728434,0.3746397694524496,0.024856249785655926,0.01959099977831963
7,2583,456,24.19667053813395,151,28.50877192982456,0.32399677391093606,0.5060240963855421,0.41369499003638216,0.51875,-0.0896982161254461,-0.012725903614457912
8,2585,498,24.526112185686657,107,26.706827309236946,0.388687317101827,0.40625,0.23741008886146486,0.11428571428571428,0.15127722824036216,0.29196428571428573
9,2571,537,24.465188642551535,82,24.39478584729981,0.3358330681037517,0.4251497005988024,0.2268491093929983,0.27146814404432135,0.10898395871075339,0.15368155655448107
10,2554,501,24.393108848864525,135,26.94610778443114,0.35258180743279804,0.4507042253521127,0.3218912295552358,0.35514018691588783,0.030690577877562242,0.09556403843622485
11,2599,493,24.54790303963063,98,22.31237322515213,0.26256236060914284,0.387434554973822,0.24041255410825804,0.3902439024390244,0.0221498065008848,-0.002809347465202394
12,2574,547,24.125874125874127,69,25.59414990859232,0.34653230880773694,0.4887640449438202,0.2626707102677673,0.22560975609756098,0.08386159853996966,0.26315428884625924
13,2631,473,24.059293044469783,86,25.581395348837212,0.30701993657460297,0.4792626728110599,0.28025687779174513,0.39143730886850153,0.02676305878285784,0.08782536394255835
14,2562,527,24.902419984387198,101,23.14990512333966,0.3330348533913631,0.46153846153846156,0.23657485157606672,0.3076923076923077,0.09646000181529635,0.15384615384615385
15,2590,470,24.74903474903475,130,25.957446808510635,0.3646580520715014,0.5,0.30074751702841973,0.4652567975830816,0.0639105350430817,0.03474320241691842
