comparison,splits_file,n_splits,model,mean_diff,std_diff,cohens_dz,wins,losses,ties,p_greater,p_two_sided
hb_graph_vs_pairwise,chembl_protein_splits.csv,50,XGBoost,0.08292131611930209,0.07444447432499607,1.113867978398227,44,6,0,1.6218702825199216e-08,3.243740565039843e-08
hb_graph_vs_hypergraph,chembl_protein_splits.csv,50,XGBoost,0.04132262008008317,0.05422421556536853,0.7620694859157124,43,7,0,1.049338713698944e-07,2.098677427397888e-07
hypergraph_vs_pairwise,chembl_protein_splits.csv,50,XGBoost,0.041598696039218924,0.0627958081625293,0.6624438359253597,33,17,0,0.016419568782134242,0.032839137564268484
hyper_flag_vs_hypergraph,chembl_protein_splits.csv,50,XGBoost,0.007604903472707393,0.028427550325831618,0.26751877617104947,31,19,0,0.05946022627971814,0.11892045255943628
hb_graph_vs_hyper_flag,chembl_protein_splits.csv,50,XGBoost,0.03371771660737576,0.05365777269914542,0.6283845734042697,38,12,0,0.00015293200080179759,0.00030586400160359517
