model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
RBF-SVM,Kernel,hb_graph,14,0.5387382823917987,2641,665,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,15,0.6710795672370937,2608,698,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,15,0.7019949544099188,2608,698,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,15,0.650488149211261,2608,698,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,16,0.32292222435704787,2647,659,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,16,0.3354108566810967,2647,659,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,16,0.37248588431819746,2647,659,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,17,0.5053597244480592,2612,694,4,42,"{'clf__C': 10000, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,17,0.6474822504640293,2612,694,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,17,0.6802114633895462,2612,694,14,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,18,0.3580080890872225,2674,632,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,18,0.36550718052147924,2674,632,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,18,0.4146862895036906,2674,632,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,19,0.3517661256897121,2550,756,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,19,0.3638084175546532,2550,756,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,19,0.43071474431446255,2550,756,14,42,"{'clf__C': 1000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,20,0.25837976899469717,2603,703,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,20,0.27791782270717624,2603,703,8,42,"{'clf__C': 1000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,20,0.2874938287239822,2603,703,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,21,0.5402443771773057,2683,623,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,21,0.6006101253377802,2683,623,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,21,0.631973651866026,2683,623,14,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,22,0.5514991396826396,2620,686,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,22,0.6143572583745487,2620,686,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,22,0.5591419947060821,2620,686,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,23,0.6075411858873272,2730,576,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,23,0.6548045889817613,2730,576,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,23,0.6862205431588311,2730,576,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,24,0.4196673754442829,2669,637,4,42,"{'clf__C': 100, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hypergraph,24,0.5072201723455133,2669,637,8,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hb_graph,24,0.5309271603961114,2669,637,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,25,0.3699728151275636,2671,635,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,25,0.46130304850402265,2671,635,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,25,0.4257161598458802,2671,635,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,26,0.588892202582575,2680,626,4,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hypergraph,26,0.6060974396373304,2680,626,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,26,0.5903295043176425,2680,626,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,27,0.5547092842515822,2614,692,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,27,0.5742852070623744,2614,692,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,27,0.5914209153074454,2614,692,14,42,"{'clf__C': 10000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,28,0.3167722750601543,2680,626,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,28,0.36327165772404213,2680,626,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,28,0.4049620959773643,2680,626,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,29,0.5360593109153737,2604,702,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,29,0.5149447394189111,2604,702,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,29,0.5456775331271649,2604,702,14,42,"{'clf__C': 10000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,30,0.5379962957085914,2624,682,4,42,"{'clf__C': 10000, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,30,0.6837322121340155,2624,682,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,30,0.6857336215028665,2624,682,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,31,0.5586415322857381,2686,620,4,42,"{'clf__C': 0.1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hypergraph,31,0.4742750432636742,2686,620,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,31,0.5107734536145099,2686,620,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,32,0.42583976373356214,2636,670,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,32,0.4413880983392513,2636,670,8,42,"{'clf__C': 1, 'clf__gamma': 'scale'}"
RBF-SVM,Kernel,hb_graph,32,0.5293819443192497,2636,670,14,42,"{'clf__C': 10000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,33,0.5792185253518801,2633,673,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,33,0.5748823296837906,2633,673,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,33,0.6035935966458401,2633,673,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,34,0.5021836938455725,2659,647,4,42,"{'clf__C': 10, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,34,0.6229646028507665,2659,647,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,34,0.4667546069064977,2659,647,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,35,0.7187895533121498,2702,604,4,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hypergraph,35,0.7217617005468968,2702,604,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,35,0.7391401058014228,2702,604,14,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,36,0.3711602764700936,2587,719,4,42,"{'clf__C': 10000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hypergraph,36,0.40147639566453475,2587,719,8,42,"{'clf__C': 10, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,36,0.4201862592321562,2587,719,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,37,0.5341996179188112,2584,722,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,37,0.6025846927017133,2584,722,8,42,"{'clf__C': 1, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,37,0.5906810980980939,2584,722,14,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,38,0.5017260496977958,2640,666,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,38,0.5727923490247749,2640,666,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,38,0.5152154336571988,2640,666,14,42,"{'clf__C': 1000, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,pairwise,39,0.630540824201143,2697,609,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,39,0.6362623929734998,2697,609,8,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,hb_graph,39,0.657312152686984,2697,609,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
RBF-SVM,Kernel,pairwise,40,0.5819256046019282,2680,626,4,42,"{'clf__C': 1, 'clf__gamma': 0.01}"
RBF-SVM,Kernel,hypergraph,40,0.6112903770762634,2680,626,8,42,"{'clf__C': 100, 'clf__gamma': 0.0001}"
RBF-SVM,Kernel,hb_graph,40,0.6356725795746937,2680,626,14,42,"{'clf__C': 10, 'clf__gamma': 0.001}"
