comparison,split_set,n_splits,model,mean_diff,std_diff,cohens_dz,wins,losses,ties,p_greater,p_two_sided
hb_graph_vs_pairwise,strat,50,RandomForest,0.05491294746553701,0.04327291179882849,1.2689912738209508,45,5,0,2.104926011270436e-09,4.209852022540872e-09
hb_graph_vs_hypergraph,strat,50,RandomForest,0.02044343420301927,0.032626989076904374,0.6265804716099451,38,12,0,0.00015293200080179759,0.00030586400160359517
hypergraph_vs_pairwise,strat,50,RandomForest,0.03446951326251774,0.038296255411808026,0.9000752917448327,41,9,0,2.8070500466270687e-06,5.614100093254137e-06
hyper_flag_vs_hypergraph,strat,50,RandomForest,0.022099275717248398,0.0191527163491307,1.153845507572164,43,7,0,1.049338713698944e-07,2.098677427397888e-07
hb_graph_vs_hyper_flag,strat,50,RandomForest,-0.001655841514229127,0.030672116329563563,-0.053985238463416074,26,24,0,0.4438624136703915,0.887724827340783
