split_index,n_train,n_test,train_ess_pct,n_isolated_test,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2582,417,24.3996901626646,191,30.69544364508393,0.3372172711291746,0.46464646464646464,0.39166551275976513,0.4527027027027027,-0.05444824163059053,0.011943761943761955
2,2642,458,24.26192278576836,90,24.45414847161572,0.2600666096883938,0.38571428571428573,0.31924868912232923,0.3882783882783883,-0.05918207943393544,-0.002564102564102555
3,2562,449,24.74629195940671,179,25.83518930957684,0.3209648535126158,0.3925729442970822,0.3125600584907535,0.3884297520661157,0.008404795021862255,0.0041431922309665414
4,2601,496,23.875432525951556,93,26.209677419354836,0.3398106386933862,0.4888888888888889,0.28607286179080665,0.43258426966292135,0.053737776902579526,0.05630461922596752
5,2581,499,23.67299496319256,110,31.663326653306612,0.42595296239945935,0.5301724137931034,0.29145303697987884,0.2,0.1344999254195805,0.3301724137931034
6,2567,517,24.503311258278146,106,25.338491295938105,0.31191368958404,0.42247191011235957,0.29418126014011503,0.3939393939393939,0.017732429443924946,0.02853251617296565
7,2583,456,24.19667053813395,151,28.50877192982456,0.3354983186199061,0.5048076923076923,0.4352969496834303,0.5294117647058824,-0.09979863106352421,-0.02460407239819007
8,2585,498,24.526112185686657,107,26.706827309236946,0.4468270647404578,0.5093457943925234,0.26943903023504995,0.13090909090909092,0.17738803450540785,0.37843670348343245
9,2571,537,24.465188642551535,82,24.39478584729981,0.35775641765263244,0.43956043956043955,0.23354533171726605,0.2913165266106443,0.1242110859353664,0.14824391294979528
10,2554,501,24.393108848864525,135,26.94610778443114,0.3536675416467707,0.4605543710021322,0.34864956475263,0.4144144144144144,0.005017976894140741,0.0461399565877178
11,2599,493,24.54790303963063,98,22.31237322515213,0.28074148227874945,0.425,0.2579777517294628,0.4012539184952978,0.022763730549286654,0.0237460815047022
12,2574,547,24.125874125874127,69,25.59414990859232,0.34901949434118545,0.4535637149028078,0.32784582487289016,0.39118457300275483,0.021173669468295298,0.06237914190005295
13,2631,473,24.059293044469783,86,25.581395348837212,0.3159118554137827,0.4675324675324675,0.35359156312011314,0.471976401179941,-0.037679707706330445,-0.004443933647473475
14,2562,527,24.902419984387198,101,23.14990512333966,0.32105054074075823,0.45701357466063347,0.25786519388469203,0.3806818181818182,0.0631853468560662,0.0763317564788153
15,2590,470,24.74903474903475,130,25.957446808510635,0.38571504688774144,0.4951923076923077,0.35594162123893497,0.44654088050314467,0.029773425648806473,0.04865142718916304
