feature,mean,std,median,min,max,n_splits,rank
protein_MedianUniqueRatio,0.10106415824663934,0.05433198852182979,0.09365844897421575,0.028022762954190907,0.22565038921142033,15,1
base_TriangleCount,0.09457238263418023,0.06020713448023048,0.07503118756096712,0.004215839506423513,0.20395772191957023,15,2
base_AvgNeighbourDegree,0.06622361161248448,0.02760124097718397,0.05531284252133846,0.02671614943223386,0.11787268734772045,15,3
stoich_WeightedTriangles,0.05734692308990156,0.05588620340206701,0.040086172901535336,-0.017179122611598475,0.1732411700579259,15,4
base_UniquePartners,0.02539774013318768,0.034158318384170445,0.01344613806668551,-0.0189487943324843,0.09134216762154881,15,5
base_Degree,0.02260101155041043,0.0447153431313632,0.003312863717465592,-0.004408498252845938,0.14444126047326716,15,6
protein_RangeUniqueRatio,0.01482641914405566,0.017324300778667936,0.010324604806602222,-0.00013427417057504387,0.07037062365273035,15,7
stoich_AvgNeighbourDegreeStoich,0.009452588974822668,0.012137869842811896,0.007072870779756846,-0.005534873077173996,0.04330686537995322,15,8
stoich_MedianRatio,0.007899074643048192,0.02171213854079218,0.006687024698553789,-0.020235901447045002,0.048260155810653536,15,9
protein_RangeComplexNodes,0.004675174956593352,0.006441944516580317,0.004473352341919612,-0.010093833804970165,0.01769130217126279,15,10
protein_MedComplexNodes,0.0040974996778699885,0.011713225892971895,0.0005374473626027721,-0.004739536357994334,0.04491558675854089,15,11
base_LocalClustCoeff,0.003577220591952515,0.0067471069000734265,0.0017383530855853313,-0.008683487770746933,0.01931892772112954,15,12
stoich_RangeComplexSize,0.0032669737678447017,0.006054117826339968,0.0025253193231015046,-0.007285607997810306,0.018745728193610433,15,13
stoich_MedComplexSize,0.0026170171862434652,0.014943352018043653,0.001866011720983718,-0.018450930286405397,0.04780337424961537,15,14
stoich_RangeRatio,-0.0011604705725766211,0.003500080930714731,-0.0010418010803592503,-0.007918079281065037,0.005513526983628747,15,15
