split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hb_graph_pr_auc
1,2701,687,7.960014809329878,8.296943231441048,0.15539787892156443,0.18715875812424107,0.19087775251600828,0.18252177491669355
2,2673,715,7.706696595585484,9.230769230769232,0.14094034129635347,0.2214839715095119,0.21593822055149436,0.21465524905922387
3,2665,723,7.99249530956848,8.160442600276625,0.19065481542399462,0.21738561955963645,0.17795429471361693,0.1869929393289286
4,2749,639,8.112040742088032,7.668231611893583,0.1259243560440618,0.1676958905510349,0.18999680517260878,0.2075335440124423
5,2757,631,8.161044613710555,7.448494453248812,0.12431705020068617,0.14305763882499045,0.1618401527642916,0.19543443693187845
6,2682,706,7.829977628635347,8.78186968838527,0.1706803273261151,0.26219054365798355,0.2457120614055771,0.25596462647240764
7,2760,628,8.115942028985506,7.643312101910828,0.10774174407825629,0.2052039778586216,0.1994958057960358,0.2055605100961985
8,2764,624,8.068017366136035,7.852564102564102,0.18703093665591847,0.19728517106679727,0.2754065241740635,0.2719612323722666
9,2748,640,8.36972343522562,6.5625,0.10185389151400588,0.17920679560892344,0.1772521111202236,0.18366628174774674
10,2696,692,8.234421364985163,7.225433526011561,0.13508710570626725,0.1917628625274476,0.20858580535030863,0.22902377288625453
11,2801,587,7.997143877186719,8.17717206132879,0.1340585395418376,0.2099325952567465,0.211278773280278,0.2037103606554104
12,2740,648,8.357664233576642,6.635802469135803,0.14660759780987725,0.17194708573517845,0.18171278305237276,0.18052279148590322
13,2636,752,8.118361153262518,7.712765957446808,0.10924554649457173,0.17905534635513334,0.19814414929336055,0.1890078396144537
14,2706,682,7.982261640798225,8.211143695014663,0.17466884088748852,0.2438036416488519,0.2513410380699896,0.25893348523668036
15,2684,704,7.749627421758569,9.090909090909092,0.21621076930273025,0.29609644140991137,0.2821104292791137,0.3426856396838967
16,2673,715,7.856341189674524,8.67132867132867,0.1382011678979654,0.18734329537879085,0.20318901549597365,0.19854567359662054
17,2667,721,8.17397825271841,7.489597780859916,0.1010561284929292,0.13351729425076062,0.15559809541894926,0.1509605431467244
18,2728,660,7.991202346041056,8.181818181818182,0.10593675643025723,0.13502009954879488,0.14655647372051517,0.14660167739900115
19,2791,597,7.846649946255822,8.877721943048575,0.1416160295479803,0.2057357758395398,0.18812803535671102,0.23518571096909294
20,2672,716,7.784431137724551,8.938547486033519,0.22579517564601032,0.2977132980494584,0.30095354383954703,0.3075998760319552
21,2738,650,7.962016070124179,8.307692307692308,0.17900868725238733,0.22523505008732958,0.24334550730318896,0.23760506173720883
22,2683,705,8.237048080506895,7.234042553191489,0.15826646385185758,0.19980709096100382,0.22249493832692196,0.2138829171828499
23,2689,699,7.66084046113797,9.44206008583691,0.14047451028514651,0.13920967814826138,0.15962547425077336,0.14176233616124
24,2742,646,7.840991976659373,8.823529411764707,0.19322596406158427,0.2351746370420045,0.2583845444759211,0.25490883738833875
25,2736,652,8.187134502923977,7.361963190184049,0.1215139534338043,0.21685782698238545,0.21363525523040133,0.2307612355618571
26,2743,645,7.874589865111192,8.682170542635658,0.14558488217206672,0.2175134099698161,0.22958731381126485,0.2694605178093601
27,2701,687,7.848944835246205,8.73362445414847,0.1530855807547299,0.26560313813081393,0.26084049485015626,0.2502793359837888
28,2751,637,8.32424572882588,6.750392464678178,0.11909493695543089,0.16900813893548336,0.19324640030342952,0.17922435167346232
29,2656,732,7.718373493975903,9.153005464480875,0.13878549544396102,0.13396957616790095,0.14016695246397856,0.1489601855710201
30,2698,690,7.82060785767235,8.840579710144928,0.1806274986852931,0.24585896573103516,0.1996664825671009,0.20213183658193706
31,2756,632,7.946298984034833,8.38607594936709,0.18789147840354314,0.19395612879088092,0.17800804713438567,0.1710692781574984
32,2696,692,7.9005934718100885,8.526011560693641,0.2157899678249051,0.2707757692569091,0.27474073563663065,0.26447085370104384
33,2771,617,8.01154817755323,8.103727714748784,0.1406896473191696,0.2957622868280969,0.30014730811608786,0.29095908477459764
34,2726,662,7.776962582538519,9.06344410876133,0.2142632273417217,0.2882549027140333,0.31599141413654175,0.36231199504810707
35,2747,641,8.190753549326537,7.332293291731669,0.1324599613216337,0.174886731206648,0.17690736296301718,0.1982451215083813
36,2735,653,8.080438756855576,7.810107197549771,0.14606144713285943,0.18803958055829006,0.19185859694656598,0.18901217741145102
37,2763,625,8.107129931234166,7.68,0.16437193713366569,0.28017382381712386,0.27946100019073006,0.24980440246506463
38,2713,675,8.256542572797642,7.111111111111111,0.11776577103461443,0.20560930539881883,0.18923488740005534,0.22024380007034502
39,2807,581,7.766298539365871,9.294320137693632,0.21014560753823466,0.1817964433982233,0.2136898963040962,0.21921955109469052
40,2756,632,8.34542815674891,6.645569620253164,0.10120813162148587,0.20817625861940559,0.2073823429989398,0.2094313742056198
41,2733,655,8.305890962312477,6.870229007633588,0.13845946541346602,0.2081952297533592,0.20442290661679383,0.20697900050136991
42,2737,651,7.745706978443552,9.216589861751153,0.17779916429053236,0.22347707636989975,0.2618066648824404,0.24255349786358588
43,2665,723,7.842401500938085,8.71369294605809,0.16321354564968688,0.19718630547655627,0.21919171305959026,0.22220688163350488
44,2773,615,7.825459790840244,8.94308943089431,0.17917554689943027,0.22608885276547624,0.2385655711291037,0.25947188730137694
45,2729,659,8.061561011359473,7.890743550834597,0.1643988134209932,0.22750896181029073,0.3020650891576555,0.21754509480581571
46,2738,650,8.14463111760409,7.538461538461538,0.2314558998537019,0.24183471878285162,0.25988223272352534,0.26070428380596977
47,2598,790,7.659738260200154,9.240506329113925,0.13903501524695308,0.20974497319086988,0.21346961729755942,0.21600023875362295
48,2775,613,7.747747747747748,9.29853181076672,0.16450840743471665,0.18198848420107142,0.2064004112786248,0.22139239376543274
49,2759,629,8.082638637187387,7.790143084260731,0.11206265668410668,0.18896204016768423,0.21827956238030016,0.2710568860093388
50,2802,586,8.279800142755175,6.825938566552901,0.1277091476476364,0.12059182364140526,0.12864410227980613,0.13417344553848426
