split_index,n_train,n_test,train_pos_pct,test_pos_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2744,650,5.97667638483965,6.615384615384616,0.28773391318723573,0.3076923076923077,0.12135176523467091,0.15120274914089346,0.16638214795256484,0.15648955855141425
2,2768,626,6.141618497109826,5.9105431309904155,0.28010841933276254,0.23318385650224216,0.08463289870149779,0.13043478260869565,0.19547552063126475,0.10274907389354651
3,2723,671,6.022769004774147,6.4083457526080485,0.35480532262587866,0.3076923076923077,0.17085267897005518,0.1890547263681592,0.18395264365582348,0.1186375813241485
4,2764,630,6.1143270622286545,6.031746031746032,0.20488728648264012,0.24880382775119617,0.11401451989329242,0.1423948220064725,0.0908727665893477,0.10640900574472367
5,2763,631,6.297502714440825,5.229793977812995,0.3320321842838348,0.24034334763948498,0.08285968417215553,0.13043478260869565,0.24917250011167927,0.10990856503078933
6,2740,654,5.802919708029197,7.339449541284404,0.22245723939116635,0.2682926829268293,0.07890591413284574,0.13615023474178403,0.1435513252583206,0.13214244818504525
7,2758,636,6.417693981145758,4.716981132075472,0.1881763262377918,0.23121387283236994,0.07612226483279845,0.116751269035533,0.11205406140499334,0.11446260379683694
8,2758,636,5.83756345177665,7.232704402515723,0.23384816582763363,0.328042328042328,0.10074488250376214,0.16374269005847952,0.1331032833238715,0.1642996379838485
9,2747,647,6.297779395704405,5.255023183925812,0.21770299497937498,0.20202020202020202,0.10731385984374583,0.11954022988505747,0.11038913513562915,0.08247997213514455
10,2693,701,5.9784626810248795,6.562054208273895,0.1955501512278564,0.20077220077220076,0.1006620951650767,0.1471698113207547,0.09488805606277971,0.05360238945144605
11,2777,617,6.157724162765574,5.834683954619125,0.3164184613282994,0.2465753424657534,0.09228783444468665,0.14180929095354522,0.2241306268836128,0.10476605151220819
12,2764,630,6.186685962373372,5.714285714285714,0.2084752688294011,0.23255813953488372,0.07682018367720762,0.14361702127659576,0.13165508515219349,0.08894111825828796
13,2727,667,5.793912724605794,7.34632683658171,0.24793541817822448,0.2825278810408922,0.13630283402018245,0.2009132420091324,0.11163258415804203,0.0816146390317598
14,2714,680,5.969049373618276,6.61764705882353,0.2275117925283634,0.2660098522167488,0.11131781393810841,0.16997167138810199,0.11619397859025499,0.09603818082864679
15,2763,631,6.0441549040897575,6.3391442155309035,0.2382750543177372,0.20477815699658702,0.10700580094376227,0.14957264957264957,0.13126925337397494,0.055205507423937455
