split_index,pairwise_C,hypergraph_C,hyper_flag_C,hyper_recip_C,hb_graph_C
1,0.01,0.01,0.001,0.01,0.001
2,0.01,0.001,0.01,0.001,0.001
3,0.01,0.01,0.001,0.001,0.001
4,0.01,0.01,0.001,0.01,0.0001
5,0.01,0.01,0.01,0.01,0.001
6,0.01,0.01,0.01,0.01,0.001
7,0.01,0.01,0.01,0.001,0.001
8,0.01,0.01,0.01,0.001,0.001
9,0.01,0.001,0.001,0.001,0.001
10,0.01,0.001,0.001,0.001,0.0001
11,0.01,0.001,0.001,0.01,0.001
12,0.01,0.001,0.001,0.01,1e-05
13,0.01,0.001,0.001,0.001,0.001
14,0.01,0.001,0.01,0.001,0.001
15,0.01,0.01,0.001,0.01,0.0001
16,0.01,0.01,0.01,0.01,0.001
17,0.01,0.001,0.001,0.001,0.001
18,0.01,0.001,0.001,0.001,0.001
19,0.01,0.01,0.001,0.001,0.001
20,0.01,0.01,0.01,0.01,0.001
21,0.01,0.01,0.01,0.001,0.001
22,0.01,0.01,0.001,0.01,0.001
23,0.01,0.01,0.001,0.01,0.0001
24,0.01,0.01,0.001,0.01,0.001
25,0.1,0.001,0.001,0.001,0.001
26,0.01,0.01,0.001,0.001,0.001
27,0.01,0.01,0.001,0.01,0.001
28,0.01,0.001,0.001,0.001,0.001
29,0.01,0.01,0.01,0.001,0.001
30,0.01,0.01,0.01,0.01,0.001
31,0.01,0.01,0.001,0.001,0.001
32,0.01,0.01,0.01,0.001,0.0001
33,0.01,0.001,0.001,0.001,1e-06
34,0.01,0.01,0.01,0.01,0.0001
35,0.01,0.01,0.001,0.01,1e-05
36,0.01,0.01,0.001,0.001,0.001
37,0.01,0.001,0.001,0.001,0.001
38,0.01,0.001,0.001,0.01,0.0001
39,0.01,0.001,0.001,0.01,0.001
40,0.01,0.01,0.001,0.01,1e-05
41,1.0,0.01,0.01,0.01,0.001
42,0.01,0.01,0.01,0.01,0.01
43,0.01,0.01,0.001,0.001,1e-05
44,0.01,0.001,0.001,0.001,0.0001
45,0.01,0.01,0.01,0.001,0.0001
46,0.01,0.01,0.01,0.01,0.1
47,0.01,0.01,0.001,0.01,0.0001
48,0.01,0.001,0.001,0.001,0.001
49,0.01,0.01,0.001,0.001,0.001
50,0.1,0.01,0.01,0.01,0.001
