group_size,n_proteins,n_essential,ess_rate_pct
1.0,542,102,18.82
2.0,268,62,23.13
3.0,212,36,16.98
4.0,178,35,19.66
5.0,129,18,13.95
6.0,126,30,23.81
7.0,119,24,20.17
8.0,103,25,24.27
9.0,81,22,27.16
10.0,38,14,36.84
11.0,31,9,29.03
12.0,70,18,25.71
13.0,38,15,39.47
14.0,109,26,23.85
15.0,59,4,6.78
16.0,61,4,6.56
17.0,100,22,22.0
18.0,72,11,15.28
19.0,38,5,13.16
21.0,21,1,4.76
22.0,22,10,45.45
23.0,21,5,23.81
25.0,42,9,21.43
29.0,29,23,79.31
32.0,32,28,87.5
33.0,33,24,72.73
34.0,66,10,15.15
39.0,76,40,52.63
40.0,40,0,0.0
45.0,90,30,33.33
46.0,45,37,82.22
47.0,46,0,0.0
48.0,48,14,29.17
51.0,51,21,41.18
89.0,89,29,32.58
90.0,88,9,10.23
113.0,93,1,1.08
