database,task,comparison,splits_file,n_splits,model,mean_diff,std_diff,cohens_dz,wins,losses,ties,n_pairs,p_greater,p_two_sided
CORUM,ess,hb_graph_vs_pairwise,ess_protein_splits.csv,50,LogisticRegression,0.010133211190967216,0.01818831450974984,0.5571275549218874,34,16,0,50,0.007673338916315053,0.015346677832630107
CORUM,ess,hb_graph_vs_hypergraph,ess_protein_splits.csv,50,LogisticRegression,0.005624847352087219,0.0036982601265089943,1.520944216922038,48,2,0,50,1.1333156635373598e-12,2.2666313270747196e-12
CORUM,ess,hypergraph_vs_pairwise,ess_protein_splits.csv,50,LogisticRegression,0.0045083638388799955,0.02040878803811392,0.22090306540792692,27,23,0,50,0.3359055168826828,0.6718110337653656
CORUM,ess,hyper_flag_vs_hypergraph,ess_protein_splits.csv,50,LogisticRegression,0.0036155420246660273,0.0035311359193676214,1.0239033861130789,44,6,0,50,1.6218702825199216e-08,3.243740565039843e-08
CORUM,ess,hb_graph_vs_hyper_flag,ess_protein_splits.csv,50,LogisticRegression,0.0020093053274211916,0.0033805586655443216,0.5943707908105961,38,12,0,50,0.00015293200080179759,0.00030586400160359517
CORUM,ess,hyper_recip_vs_hypergraph,ess_protein_splits.csv,50,LogisticRegression,0.0382189063464233,0.022231115778633424,1.7191627593949161,49,1,0,50,4.529709940470639e-14,9.059419880941277e-14
CORUM,ess,hb_graph_vs_hyper_recip,ess_protein_splits.csv,50,LogisticRegression,-0.032594058994336074,0.020096252127231252,-1.6218973959910554,2,48,0,50,0.9999999999999547,2.2666313270747196e-12
CORUM,hpa,hb_graph_vs_pairwise,hpa_protein_splits.csv,50,LogisticRegression,0.1291288346328445,0.04824830797130869,2.6763391310972433,50,0,0,50,8.881784197001252e-16,1.7763568394002505e-15
CORUM,hpa,hb_graph_vs_hypergraph,hpa_protein_splits.csv,50,LogisticRegression,0.03624880935854576,0.028647040005706715,1.2653596794406932,44,6,0,50,1.6218702825199216e-08,3.243740565039843e-08
CORUM,hpa,hypergraph_vs_pairwise,hpa_protein_splits.csv,50,LogisticRegression,0.09288002527429873,0.05549387041601434,1.6736988171489213,49,1,0,50,4.529709940470639e-14,9.059419880941277e-14
CORUM,hpa,hyper_flag_vs_hypergraph,hpa_protein_splits.csv,50,LogisticRegression,0.03114406635667195,0.02189193101244501,1.422627649382201,48,2,0,50,1.1333156635373598e-12,2.2666313270747196e-12
CORUM,hpa,hb_graph_vs_hyper_flag,hpa_protein_splits.csv,50,LogisticRegression,0.005104743001873815,0.015813221885418054,0.32281485954365086,36,14,0,50,0.0013010857283610733,0.0026021714567221466
CORUM,hpa,hyper_recip_vs_hypergraph,hpa_protein_splits.csv,50,LogisticRegression,0.06852906935375977,0.032183491558095995,2.129323638799556,49,1,0,50,4.529709940470639e-14,9.059419880941277e-14
CORUM,hpa,hb_graph_vs_hyper_recip,hpa_protein_splits.csv,50,LogisticRegression,-0.032280259995214014,0.031375435427146464,-1.0288386298309244,6,44,0,50,0.999999997895074,3.243740565039843e-08
CORUM,chembl,hb_graph_vs_pairwise,chembl_protein_splits.csv,50,LogisticRegression,0.13794506030206422,0.03887430242456884,3.5484896627979605,50,0,0,50,8.881784197001252e-16,1.7763568394002505e-15
CORUM,chembl,hb_graph_vs_hypergraph,chembl_protein_splits.csv,50,LogisticRegression,0.039149236133641435,0.02023145227045003,1.935068012434413,50,0,0,50,8.881784197001252e-16,1.7763568394002505e-15
CORUM,chembl,hypergraph_vs_pairwise,chembl_protein_splits.csv,50,LogisticRegression,0.0987958241684228,0.04029545170790448,2.4517859952179837,50,0,0,50,8.881784197001252e-16,1.7763568394002505e-15
CORUM,chembl,hyper_flag_vs_hypergraph,chembl_protein_splits.csv,50,LogisticRegression,0.019391832354755105,0.017873481967481775,1.0849498933691684,45,5,0,50,2.104926011270436e-09,4.209852022540872e-09
CORUM,chembl,hb_graph_vs_hyper_flag,chembl_protein_splits.csv,50,LogisticRegression,0.01975740377888633,0.012288070449152678,1.6078524175655828,47,3,0,50,1.8541612689659814e-11,3.708322537931963e-11
CORUM,chembl,hyper_recip_vs_hypergraph,chembl_protein_splits.csv,50,LogisticRegression,0.056684111249780476,0.024938433845440335,2.2729619510627135,50,0,0,50,8.881784197001252e-16,1.7763568394002505e-15
CORUM,chembl,hb_graph_vs_hyper_recip,chembl_protein_splits.csv,50,LogisticRegression,-0.017534875116139027,0.02108562656919035,-0.8316032278481319,9,41,0,50,0.9999994182220977,5.614100093254137e-06
