model,family,tier,split_index,pr_auc,n_train,n_test,n_features,seed,best_params
LogisticRegression,Linear,hypergraph,18,0.23806057113128465,2710,678,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,18,0.3529826949424637,2710,678,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,19,0.11294070013884994,2711,677,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,19,0.1992990634849175,2711,677,8,42,{'clf__C': np.float64(0.9846738873614566)}
LogisticRegression,Linear,hb_graph,19,0.23526839957043896,2711,677,14,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,pairwise,20,0.159797424693447,2711,677,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,20,0.14660891820050181,2711,677,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,20,0.1675407866160614,2711,677,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,21,0.12148001331688925,2714,674,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,21,0.20669694655691842,2714,674,8,42,{'clf__C': np.float64(0.4205156450913872)}
LogisticRegression,Linear,hb_graph,21,0.2199917893115922,2714,674,14,42,{'clf__C': np.float64(21.42302175774105)}
LogisticRegression,Linear,pairwise,22,0.13697454782372084,2711,677,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,22,0.22574348631173952,2711,677,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,22,0.2934235540773232,2711,677,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,23,0.09007064812039585,2711,677,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,23,0.1467823373730047,2711,677,8,42,{'clf__C': np.float64(1.0129197956845732)}
LogisticRegression,Linear,hb_graph,23,0.19280407271254624,2711,677,14,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,pairwise,24,0.10983352267181226,2711,677,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,24,0.21685628148059943,2711,677,8,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,hb_graph,24,0.3160455341753131,2711,677,14,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,pairwise,25,0.12081632015770129,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
LogisticRegression,Linear,hypergraph,25,0.24417437056929597,2710,678,8,42,{'clf__C': np.float64(3.4702669886504163)}
LogisticRegression,Linear,hb_graph,25,0.24674569677568509,2710,678,14,42,{'clf__C': np.float64(14.528246637516036)}
LogisticRegression,Linear,pairwise,26,0.12072714951787897,2714,674,4,42,{'clf__C': np.float64(0.028585493941961918)}
LogisticRegression,Linear,hypergraph,26,0.2065600962268561,2714,674,8,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,hb_graph,26,0.27130490666904056,2714,674,14,42,{'clf__C': np.float64(70.72114131472235)}
LogisticRegression,Linear,pairwise,27,0.14395404889135188,2711,677,4,42,{'clf__C': np.float64(0.006026889128682512)}
LogisticRegression,Linear,hypergraph,27,0.2042631284327052,2711,677,8,42,{'clf__C': np.float64(4.5705630998014515)}
LogisticRegression,Linear,hb_graph,27,0.26774709062386987,2711,677,14,42,{'clf__C': np.float64(56.69849511478853)}
LogisticRegression,Linear,pairwise,28,0.10276300256480786,2710,678,4,42,{'clf__C': np.float64(0.001267425589893723)}
