split_index,n_train,n_test,train_pos_pct,test_pos_pct,hypergraph_pr_auc,hypergraph_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff
1,2744,650,5.97667638483965,6.615384615384616,0.27023299827097935,0.2978723404255319,0.19079575513167596,0.23931623931623933,0.07943724313930339,0.058556101109292574
2,2768,626,6.141618497109826,5.9105431309904155,0.25386937871725057,0.29743589743589743,0.16213363307228973,0.15827338129496402,0.09173574564496084,0.13916251614093342
3,2723,671,6.022769004774147,6.4083457526080485,0.34806203202158204,0.4032258064516129,0.2362177394989911,0.25116279069767444,0.11184429252259093,0.15206301575393844
4,2764,630,6.1143270622286545,6.031746031746032,0.27480781899297135,0.3,0.22291918297943233,0.21359223300970873,0.05188863601353902,0.08640776699029126
5,2763,631,6.297502714440825,5.229793977812995,0.45209262249276694,0.32098765432098764,0.3754212676726897,0.20512820512820512,0.07667135482007725,0.11585944919278252
6,2740,654,5.802919708029197,7.339449541284404,0.3510054733496858,0.29591836734693877,0.29739572546330284,0.21395348837209302,0.05360974788638295,0.08196487897484575
7,2758,636,6.417693981145758,4.716981132075472,0.2420254801788238,0.3,0.14475412330698945,0.15492957746478872,0.09727135687183436,0.14507042253521127
8,2758,636,5.83756345177665,7.232704402515723,0.30097069678399985,0.34375,0.30761284986136833,0.24731182795698925,-0.0066421530773684845,0.09643817204301075
9,2747,647,6.297779395704405,5.255023183925812,0.2639846822864925,0.24050632911392406,0.18271407696977873,0.16666666666666666,0.08127060531671379,0.0738396624472574
10,2693,701,5.9784626810248795,6.562054208273895,0.24039762099784387,0.24880382775119617,0.2767979864512959,0.2049469964664311,-0.036400365453452016,0.04385683128476506
11,2777,617,6.157724162765574,5.834683954619125,0.40580592372911795,0.36923076923076925,0.26754340448015057,0.22660098522167488,0.13826251924896737,0.14262978400909437
12,2764,630,6.186685962373372,5.714285714285714,0.2537505163697129,0.3221476510067114,0.2613649900543952,0.216,-0.007614473684682266,0.10614765100671139
13,2727,667,5.793912724605794,7.34632683658171,0.2801526431197377,0.3132530120481928,0.27044607642800406,0.28846153846153844,0.009706566691733642,0.024791473586654345
14,2714,680,5.969049373618276,6.61764705882353,0.30925408531368415,0.3511450381679389,0.30162700391569447,0.34375,0.007627081397989677,0.0073950381679389054
15,2763,631,6.0441549040897575,6.3391442155309035,0.3590690843246348,0.3027027027027027,0.35347127254217475,0.24489795918367346,0.005597811782460049,0.057804743519029256
