feature,mean,std,median,n,is_noise
base_Degree,0.09191225219956571,0.06271330059591258,0.07254429700372285,45,False
protein_MedComplexNodes,0.07567505750847968,0.04601976861272242,0.07355144405566996,45,False
protein_MedianUniqueRatio,0.06684908920684976,0.05636481393539388,0.06098003953380081,45,False
stoich_MedianRatio,0.061533299614619195,0.046063662292029656,0.049212783207920247,45,False
stoich_AvgNeighbourDegreeStoich,0.05830092508645794,0.05094366402160573,0.0485749193148429,45,False
stoich_MedComplexSize,0.053580176300615255,0.025784077294033873,0.04716741868839394,45,False
stoich_WeightedTriangles,0.03781369208333349,0.042781864014417935,0.03150246863533153,45,False
base_AvgNeighbourDegree,0.0349438983352813,0.02983896931246668,0.026893774203985227,45,False
base_LocalClustCoeff,0.023483394641084794,0.023112523464512855,0.018861996797744196,45,False
base_TriangleCount,0.020563830721409954,0.01594722263720156,0.020145263648695462,45,False
base_UniquePartners,0.006643467923228885,0.01683423882055983,0.004894837208897901,45,False
[noise × 4],0.0012537894949598146,0.011028240082686044,0.0004209432677311123,180,True
rand_0,0.0023700781690273024,0.0124165760385772,0.0015970494810155999,45,True
rand_1,0.0011889988437503208,0.008861218170414256,0.001974345134252431,45,True
rand_2,-0.0007117236096145196,0.010659996394208615,-0.0007712306410767644,45,True
rand_3,0.0021678045766761536,0.011584959327044205,-0.00019869961897305276,45,True
