split_index,seed_index,noise_seed,n_train,n_test,rand_pr_auc,pair_pr_auc,hyper_pr_auc,rand__rand_0,rand__rand_1,rand__rand_2,rand__rand_3,pair__pair_Degree,pair__pair_LocalClustCoeff,pair__pair_TriangleCount,pair__pair_AvgNeighborDegree,pair__rand_0,pair__rand_1,pair__rand_2,pair__rand_3,hyper__base_Degree,hyper__base_LocalClustCoeff,hyper__base_TriangleCount,hyper__base_UniquePartners,hyper__base_AvgNeighbourDegree,hyper__stoich_WeightedTriangles,hyper__stoich_AvgNeighbourDegreeStoich,hyper__stoich_MedComplexSize,hyper__stoich_MedianRatio,hyper__protein_MedianUniqueRatio,hyper__protein_MedComplexNodes,hyper__rand_0,hyper__rand_1,hyper__rand_2,hyper__rand_3
1,0,1042,2719,669,0.056911022019211985,0.19074833245413586,0.4494580713601291,-0.0062491978820114515,-0.0015861342608097968,0.003909665191771758,0.0008700996050061326,0.026377643990890598,0.10543509809115514,0.009898257107720404,0.011885132143675103,-0.040681654591007435,-0.01355001423376909,0.003889285915905469,-0.009318821734278143,0.1595572540209464,0.014502425625828024,0.0075237851963510845,0.005132999963905016,0.031934387501561204,0.017495779770857988,0.0901990498310488,0.08796229922940015,0.13114934945734616,0.13922544155244534,0.09902033422538808,-2.103074111922676e-05,0.001974345134252431,-0.0052028440131943856,-0.006326481516374638
1,1,1043,2719,669,0.05437968416495752,0.17918832024687947,0.44389133344403653,-0.011227519367949298,-0.006976286938565754,-0.0013137021497191981,-0.009116276464480858,-0.015062049003267543,0.0944235902858004,-0.0030376486834450015,0.003236945014280873,0.005332404683147771,-0.03477093429159058,0.0034008043214743848,-0.0161675039357486,0.2101312741146916,0.012697485986713913,0.031166673384658016,-0.00421430610302273,0.05577661443791604,0.061637597275361465,0.04668429170880357,0.08771466093051299,0.13147608667993113,0.11292291263710899,0.11077189685868674,0.004448237537748279,-0.00394800292903093,-0.0021180294659535913,-0.00019869961897305276
1,2,1044,2719,669,0.06493377051689128,0.22877056249114647,0.45261107433170594,-0.004667347441220529,0.011530048870597949,3.670246994525034e-05,-0.003165314158619304,0.04683370260673715,0.13620968661710395,0.038162130919723765,0.01082541991731104,0.009622857926964878,0.01249133957820138,-0.0011240121132087527,-0.017647338056184087,0.11924240129461543,0.007369195155970587,0.019928362355965852,0.013189978388031775,0.0612800869213479,0.04236235524238696,0.049831692991553864,0.058130642332830516,0.13921117250413617,0.12477112675687747,0.10816712252273822,0.0014664293466006284,0.00442856025407432,-0.0007813949804834908,0.000797954121240746
2,0,2042,2741,647,0.09234785492905548,0.29229374388456436,0.5531367171062714,-0.014562555212172024,-0.0276019236557829,-0.0007025149184556919,-0.005664860054597922,0.07461682303085433,0.1319101926933672,0.016098674371930057,0.03325905548306586,0.010561627020571096,-0.017730003657066347,-0.026272355475751807,0.013141491189970761,0.11380497615663102,0.02984058079759464,0.020825276622585008,0.005987495424031097,0.021720030710107373,0.03150246863533153,0.06999008857751476,0.08365293584595417,0.08944104755953133,0.07486658823024805,0.09144656020783089,0.010995765195850216,-0.004604570229592342,-0.009280466976184221,0.012348052754446092
2,1,2043,2741,647,0.12088402686457195,0.3347521097685925,0.5866136611616338,-0.007429164483144875,-0.005157295675096976,0.021986801046171737,0.023778499532456882,0.09433907481151775,0.14155501849062258,0.030971035735091045,0.02723812004894713,0.0006072428942362984,-0.005103333666988463,0.01935559670467867,0.01186082861480226,0.08796398598223279,0.01740826493014158,0.03453832106926269,0.019699691480256853,0.08231585492425546,0.034280532330620964,0.04587177464779759,0.11759979374989751,0.06305808794983639,0.09293352643934594,0.09610003804590246,0.0015970494810155999,-0.004323191603345711,0.0012518292208562377,-0.0011036567646452334
2,2,2044,2741,647,0.093339519335922,0.2804346170953493,0.5425891563873894,-0.013264335785825938,0.0008653422957395643,-0.007799331819664655,-0.0014703039332570555,0.056635492756890574,0.11605998014639193,-0.03460694159429301,0.003349479961958149,-0.03531124930398773,-0.017317421146615674,-0.013628681245977247,0.0059270126697330006,0.1530117630947225,0.020174522625156233,0.04707831011366314,0.01015553154676263,0.058906412800943865,0.0532902702630727,0.054853500616085314,0.07071486070887724,0.04002244849093907,0.06098003953380081,0.09286515854220287,0.0009683716714004031,0.00336790054992091,-0.004156303765721114,0.005628844072902051
3,0,3042,2689,699,0.08144318772857542,0.208803125309557,0.24631882913993366,0.0009762478188003548,0.0004905399668147029,-0.0028221238906686237,-0.004648578737963827,0.01958702204791546,0.10510712330699361,0.042902127605066155,0.02108814311137075,0.030091704528943868,-0.011340077190353381,-0.004716890422237799,-0.0003303988475156505,0.06437013212555899,-0.004262066548938079,-0.008753823489234851,-0.0005481188988038759,0.03146119369408298,0.00531389314294875,0.051265013064953714,0.03829486541223468,0.034178122445877666,0.025734312190447205,0.03510090086546086,-4.40363836447355e-05,-0.003375079733081851,0.0024605229105308657,-0.003165473851727332
3,1,3043,2689,699,0.07632422132828078,0.20999053862036657,0.247229896154633,-0.004809472197764913,-0.0011110878853952371,-0.001655798627411724,-0.0034757080721618664,0.022656610090937054,0.10065739854926392,0.04017274491480636,0.021589581417690098,0.016510486735710768,0.004801912231964944,0.004301225856053417,0.014414842311123614,0.06674926484449005,0.009347099875762216,-0.00436894182864001,-0.0018408745291899036,0.02239035406501575,-0.0011266085208739313,0.030646196237708145,0.036822060788932263,0.024435826924899783,0.021997974183134292,0.0377736542402364,0.0030293048292270334,0.003872826652072564,-0.0029671370067811814,0.00044280762621197456
3,2,3044,2689,699,0.06812511725971698,0.1709908419876051,0.22968936972429643,-0.00674904408614536,-0.009237584569921275,-0.0014310304748095352,-0.0042656883795511805,0.011176327641416026,0.05538974115597769,0.013737833013854301,0.011635183658086492,0.006705031215576143,-0.007183092009045452,-0.003916578402047605,0.0004824161821438133,0.04424997105124225,-0.012086295367985504,-0.010068067274760145,-0.006635303492879166,0.014185750483607363,-0.005029400172250972,0.03323106395782961,0.026335884364624418,0.013560530707098686,0.03321604184374007,0.03597214786840543,-0.0005994970566503999,-0.010034474710711103,-0.009669507964726801,0.005210584569454052
4,0,4042,2786,602,0.07875285761787884,0.13866464139614654,0.33226411323287647,0.0017042464544390068,0.0029732722860469516,-0.006990706800115175,0.002198184010580127,0.01082317365772024,0.03169443150978797,0.004446982842126371,0.0013321370038074111,5.840535837778049e-05,-0.0035088628331374854,-0.02120453315702144,-0.006800156839029531,0.03326040600291995,0.006123313522347723,0.01501816975951023,-0.006351429190187252,0.008007187116981729,0.014113348209579091,0.04789860071106059,0.01705615515376735,0.04428894469283465,0.06911283951882928,0.07753060236620692,-0.008809695457756384,-0.0024923115850956855,-0.021459633921149773,0.0014712270077515577
