split_index,pairwise_C,hypergraph_C,hyper_flag_C,hyper_recip_C,hb_graph_C
1,0.1,10000.0,100.0,1.0,1.0
2,1.0,100.0,10.0,0.1,1.0
3,10000.0,100.0,10000.0,10.0,10.0
4,1.0,1.0,1.0,0.1,1.0
5,0.1,10000.0,100.0,0.1,1.0
6,10000.0,1000.0,1000.0,0.1,10000.0
7,1.0,10.0,1.0,1.0,1.0
8,10000.0,1000.0,100.0,0.1,10.0
9,10.0,10000.0,10.0,10.0,1.0
10,0.1,1.0,100.0,10.0,1.0
11,10000.0,10000.0,1000.0,10000.0,10000.0
12,0.1,10000.0,10000.0,100.0,1000.0
13,10000.0,100.0,10000.0,0.1,10000.0
14,1.0,10000.0,1.0,1.0,1.0
15,10000.0,10000.0,100.0,0.1,10.0
16,0.1,1.0,100.0,0.1,10000.0
17,0.1,1000.0,100.0,10000.0,100.0
18,0.1,10.0,1.0,1.0,1.0
19,10000.0,100.0,10000.0,1.0,10000.0
20,10000.0,10.0,100.0,1.0,1000.0
21,10000.0,1.0,1.0,0.1,1.0
22,10000.0,10000.0,1000.0,0.1,10.0
23,0.1,100.0,1000.0,1000.0,100.0
24,1000.0,1000.0,100.0,10.0,1.0
25,0.1,10.0,10000.0,0.1,10.0
26,10.0,10.0,1.0,10000.0,1.0
27,1.0,10000.0,1000.0,10.0,10000.0
28,0.1,100.0,10000.0,1.0,1.0
29,10000.0,100.0,100.0,1.0,10.0
30,10000.0,100.0,10.0,0.1,1000.0
31,0.1,1000.0,10.0,100.0,1.0
32,10000.0,100.0,100.0,1.0,10000.0
33,0.1,10000.0,10.0,1.0,100.0
34,0.1,10000.0,10000.0,1.0,10000.0
35,0.1,1000.0,10000.0,0.01,100.0
36,100.0,10.0,10.0,100.0,10.0
37,0.1,1000.0,100.0,1.0,1000.0
38,100.0,1000.0,1000.0,1.0,1000.0
39,0.1,10.0,1000.0,10000.0,1.0
40,0.1,100.0,1.0,1.0,1000.0
41,10000.0,10000.0,10.0,1.0,1000.0
42,10000.0,10000.0,1000.0,1.0,100.0
43,100.0,1.0,1.0,1.0,0.1
44,0.1,1000.0,100.0,1.0,1.0
45,1.0,1.0,100.0,10000.0,10.0
46,1000.0,1.0,10000.0,1.0,0.1
47,1000.0,10000.0,1000.0,0.1,100.0
48,10.0,10000.0,10.0,1000.0,10.0
49,100.0,10000.0,10.0,100.0,1.0
50,1000.0,10.0,100.0,1.0,10000.0
