pair_Degree,pair_LocalClustCoeff,pair_TriangleCount,pair_AvgNeighborDegree,true_label
0.045521040335618684,0.22095405237938126,0.060568851618246065,0.011675575300018866,0
-0.01331103079291901,-0.21271196931231046,-0.11052892083564132,-0.0632569930419335,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.018158877398719804,-0.12611413617075293,-0.2037880235779037,-0.012699118795043296,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
-0.017590808589219124,-0.23374405148871027,-0.15609475320135663,-0.05028813106107363,0
0.01490742550630724,0.15095799828362208,-0.12095464356240028,-0.157843736183245,0
-0.0007385835330990323,0.03600274548319763,0.040351618417990585,0.029080759606715,0
0.0012437134451885336,0.10694451846510872,0.05703814503629541,0.03805137022450848,0
0.009698581917777683,0.09504803714528977,-0.13370199492969673,0.024275725212254774,0
0.0012382398272908466,-0.044468010433134,0.008952361734049296,0.013900114052658976,0
-0.005343059048712449,-0.29009959839660004,-0.028914518665520184,0.011348153360800035,0
-0.026101370136826875,-0.1930151700764856,-0.1667528665263761,0.0014821059909567106,0
-0.0037970800176002034,0.13259921344993406,0.006787115976734011,-0.23646517285988722,1
-0.03503364644819631,-0.25971262115854293,-0.15989162300402435,-0.011450847782384945,0
0.012072183824518806,0.11698588920807898,0.05064324236101412,-0.07806906530170828,0
-0.019433983380712457,-0.25074897583432665,0.015403058489048979,-0.00129444281516939,0
0.03516670819651512,0.21004701976604231,0.04586639070819904,0.03081761819762727,0
0.014550219305816577,-0.0002025359337406961,0.08092281620761575,0.03412840043940222,0
0.013874579309823937,-0.1974685951879828,0.07944340203345233,0.014294031118817907,0
0.018708715413476105,-0.18168304604714916,0.08773998691200871,0.0185475298557702,0
-0.004565363172823042,-0.03342690908328246,0.04654926725855616,0.02805918625531174,0
0.008406019890898809,-0.028401743423994614,0.05083967678940452,0.03052148896972546,0
0.014897724392071085,-0.20741185302888554,0.081712484909047,0.0265232246477451,0
0.014897724392071085,-0.20741185302888554,0.081712484909047,0.0265232246477451,0
0.01667761357874356,-0.20805152622448614,0.08333793454203788,0.03418090866806579,0
-0.011662029800107656,-0.05988609431522813,0.010634529225794087,0.016972777516159568,0
-0.004123917802576359,-0.05629498806461375,0.0025507804975846804,0.009853765313074307,0
-0.012167537774438342,-0.06108070305262935,0.05219867848766146,0.025605541405370018,0
-0.011746820228882397,-0.057343160519493536,0.005899303991465309,0.014582733805343194,0
-0.0047783715198530695,-0.1778471022341121,-0.13184639466612477,-0.1174469710272758,0
-0.02256444365024779,-0.09514746360152747,-0.16341574105112402,-0.15294936611910634,0
-0.02101101107892738,0.06781097020857045,-0.14555557259489227,0.02942053309371055,0
0.0288056423116769,0.19717710661931762,0.049700539708092656,0.02853521231021893,0
0.004205945254088305,0.11138238250249118,0.0565326058722984,0.011160040998594177,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025844864774422126,-0.2047159250590439,-0.15418711040812094,-0.09265805817262836,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.02469033903643635,-0.2031965223573168,-0.15286576729268259,-0.0950504428349544,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025844864774422126,-0.2047159250590439,-0.15418711040812094,-0.09265805817262836,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025844864774422126,-0.2047159250590439,-0.15418711040812094,-0.09265805817262836,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.025468071793315537,-0.20794592190018843,-0.15418368977485605,-0.08861378839070098,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
-0.014584147811662038,-0.11396278986638671,-0.18726894423384755,-0.011902102739122825,0
-0.01637223271560077,-0.2288563718562131,-0.16052667777517005,-0.02295271835062707,0
-0.02358856321835367,-0.1651577057556958,-0.1534722084882627,-0.10404902617509224,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
-0.01637223271560077,-0.2288563718562131,-0.16052667777517005,-0.02295271835062707,0
-0.016811618010022046,-0.23519808604345405,-0.1584728911544822,-0.04487209484474122,0
0.006652666415759256,-0.1817853395393322,-0.14183585996397333,-0.13441556507986613,0
0.0038292918262575366,-0.16950108803501038,0.05861314745482549,-0.22630991889720734,0
-0.010379517961847289,-0.2114114778866425,-0.1046558832705625,-0.06447010720786837,0
-0.02577016248300475,-0.09576326189823516,-0.17535772556112303,-0.12767033367224592,0
0.0029673297638911494,-0.20552912170343612,0.052078264931207714,-0.1776871145184513,0
-0.028014572872944135,-0.2540269352346224,-0.15159862580121714,0.016182041394701335,0
-0.02953551568594021,-0.24875024005805874,-0.15164234918494854,0.01738971737974255,0
-0.03557553517887817,-0.24839776266066552,-0.1580805152356436,0.010534737751953214,0
0.007365938064875108,-0.017923476466260937,0.05337308462524583,0.04093518917052239,0
0.018733569401000266,-0.18273118881797987,0.08950192605120415,0.022154032334898616,0
0.0027529244627514083,0.012330058732682248,0.03430674724019744,-0.16447587092351948,1
0.040968427711164344,0.10168941798630987,-0.11273366689891548,-0.18161841002856147,1
0.028061951934155286,0.21811539264129534,0.01286048746766291,0.032306438374249465,0
-0.010386052393404047,-0.20167961345325858,-0.09954420525944481,-0.113054182576635,0
-0.010386052393404047,-0.20167961345325858,-0.09954420525944481,-0.113054182576635,0
-0.015815407491121775,-0.18968122432988524,-0.13447528276798498,-0.1444674542668539,0
-0.015815407491121775,-0.18968122432988524,-0.13447528276798498,-0.1444674542668539,0
-0.019638526783282727,-0.19755024766200707,-0.13660506453316978,-0.1303952337492663,0
-0.0027672293779375827,0.07918492317583577,-0.13177091801447752,-0.215150606193522,0
-0.01938809060836448,-0.10783578220997304,-0.12991684508034723,-0.17611882754265112,0
0.01795004759969842,0.174184655644465,-0.06724732071787538,-0.19334354173013282,0
-0.019433983380712457,-0.25074897583432665,0.015403058489048979,-0.00129444281516939,0
-0.019433983380712457,-0.25074897583432665,0.015403058489048979,-0.00129444281516939,0
-0.011405171494501114,-0.22847646870619262,-0.00957202282683947,-0.08078143392601589,0
-0.006815511155641229,0.04902016771649235,-0.09803681001796459,-0.006398770888094355,0
0.0021620476640653763,-0.08900305528021873,-0.10352903120121094,-0.03765755302747306,0
-0.014975249005786624,-0.24565387189268417,-0.11991766568467999,-0.013418989828909694,0
-0.024642204612589952,-0.11539285840753627,-0.1438062180516949,-0.12683090946899478,0
-0.014975249005786624,-0.24565387189268417,-0.11991766568467999,-0.013418989828909694,0
-0.02260489510226963,-0.17312657039962057,-0.13287983743196,-0.0017200206478749647,0
-0.024642204612589952,-0.11539285840753627,-0.1438062180516949,-0.12683090946899478,0
-0.056468624056413445,0.09654307627647046,0.01991375469777781,-0.017870943340522166,0
-0.056468624056413445,0.09654307627647046,0.01991375469777781,-0.017870943340522166,0
-0.0009560676361565829,-0.061090687025274315,0.004397907711193851,0.01733107322169361,0
0.007021508244043493,-0.09255106120037834,-0.14610866846993703,-0.1898101560388732,0
