split_index,rand_pr_auc_mean,rand_pr_auc_std,pair_pr_auc_mean,pair_pr_auc_std,hyper_pr_auc_mean,hyper_pr_auc_std,rand_f1_mean,rand_f1_std,pair_f1_mean,pair_f1_std,hyper_f1_mean,hyper_f1_std
1,0.17793990177901162,0.011345409509655962,0.3040082718355007,0.007893975547194258,0.34123888337270125,0.0026295052653366323,0.07163708802033994,0.08711139530697753,0.37314395860699656,0.006858008233588415,0.41456131900816634,0.008025306123896772
2,0.19570848957155737,0.009454151630314576,0.5898110427139541,0.013279479824704779,0.6395395606313277,0.006385591147086196,0.09173948307041913,0.1118362472673746,0.5186901790841126,0.0074988032693323915,0.5415527136518477,0.0035864466982524577
3,0.19826247338576675,0.009774373200501698,0.3617947797554165,0.010640586324996117,0.3903676001886574,0.007990432812420583,0.16206950547363805,0.10630789246793744,0.43101357681464714,0.005614335937155276,0.4445307517029186,0.0030090525874565417
4,0.16160725019228245,0.012822191318129107,0.47966161739409746,0.009878452820696104,0.5132742309704323,0.0063383908903264395,0.09307025753117017,0.09122187381295686,0.48358115749817865,0.008394942837304986,0.5110642002616818,0.00406493975402276
5,0.13984815113154578,0.015920783182049546,0.31855419795838597,0.006049171077747879,0.3840926717426505,0.005575073763079781,0.09006483808568289,0.08778493358773665,0.39677824147680696,0.010843788423511505,0.43653641374531105,0.004442398385387498
6,0.1953171469076478,0.014337305081806327,0.4023377811491655,0.006411762827389397,0.43177496740377197,0.004742511034873186,0.13523066619542035,0.10027487373369212,0.42308445578321346,0.006360214147627418,0.4602569928706293,0.0035266059439510336
7,0.19008002667862772,0.011050103600612685,0.5911238432237501,0.007690519195260052,0.6317272664704544,0.00772216281608885,0.14019502381558815,0.10594669342366561,0.5041586815922343,0.0053381720509430896,0.5339024485209192,0.006068513085854949
8,0.20054446902181583,0.012867716995079768,0.46441318236319,0.012301353709609062,0.5108777642293353,0.003907465162013541,0.102908132127425,0.08811050509062204,0.4627970307910451,0.005140429876315694,0.48516944832244374,0.0037366448873099147
9,0.26257560585812867,0.01818570761437105,0.6013056766931296,0.00740023197553724,0.6390134407000106,0.008741745347391309,0.1443544761052076,0.09803180368218249,0.5535166734421794,0.00681759922502721,0.5858875186204994,0.0031717346137301356
10,0.1819534025130959,0.008784003554043419,0.5029604252682311,0.012345840044790094,0.5285943834400206,0.009073240244658817,0.07324463939537752,0.07125855401139256,0.4734953479611638,0.004440276541126041,0.5062642746077752,0.004911163878022632
11,0.253025784262093,0.013335332465322158,0.5895992581548386,0.00629689153120515,0.6055953412709225,0.0027305363974170316,0.10178200217015239,0.10663746716782559,0.5341330794000108,0.006030275842897786,0.5520021089290046,0.0029632332122230725
12,0.15874903947138935,0.016211196036456495,0.389075064163967,0.011040069570935652,0.4573180446941916,0.006627247824596893,0.16064901039496776,0.07027836685371604,0.41801230221059854,0.004502230364418176,0.448057765911609,0.005406419260087411
13,0.16231258787214797,0.008656496232520256,0.43349856315444735,0.012579087628561985,0.4682857718754095,0.008270012121591445,0.10885183230019083,0.05653421332723403,0.4644989764827584,0.005155448402391095,0.48343133857588133,0.003608863379147616
14,0.1511859009246564,0.009064650396116678,0.40700579733339526,0.00998823219899158,0.46980540870407317,0.006584247829672482,0.08963477567929476,0.07363323307049569,0.4458914448018942,0.012136546962571859,0.4852053016630055,0.004030489582564795
15,0.1645925368452351,0.010379721476372238,0.4018109874084007,0.009256534664500696,0.46586148824855506,0.0043095555745957794,0.10856035731677086,0.08454367265660136,0.42647130219822776,0.006091615818570069,0.45357787967066565,0.0047796298533390935
MEAN_OVER_SPLITS,0.18624685109433345,0.012145942819556797,0.455797365904658,0.009536812596141335,0.49849112159616754,0.006108514548743266,0.1115994725121097,0.0893007816973607,0.4606177605429379,0.006748179195518733,0.4894666984041572,0.0043554294163497785
