database,task,model,split_index,rand_pr_auc_mean,rand_pr_auc_std,pair_pr_auc_mean,pair_pr_auc_std,hyper_pr_auc_mean,hyper_pr_auc_std,rand_f1_mean,rand_f1_std,pair_f1_mean,pair_f1_std,hyper_f1_mean,hyper_f1_std
corum,ess,RandomForest,1,0.17418153377385426,0.011201488617589798,0.299538399572508,0.008115600356076641,0.3447296346455337,0.009119189608903362,0.149094613502282,0.10010135633946189,0.37738278786281426,0.006591389523642368,0.40515918609415263,0.006104388563936175
corum,ess,RandomForest,2,0.1988614214846815,0.015669677125910473,0.5831372151296714,0.008609407152503596,0.6335817005559014,0.007215401548766668,0.12949481071442673,0.09487486492403371,0.5178782861549898,0.005806191980642707,0.5421965084992071,0.0028397289948704644
corum,ess,RandomForest,3,0.2015625214778622,0.007887376988932045,0.3527405623131752,0.009721843279364423,0.410760837306119,0.015890725467649944,0.11231571942245197,0.10400542655804496,0.43696231606222513,0.007921178869005766,0.44531746345385137,0.0028678134836225043
corum,ess,RandomForest,4,0.1687728696681943,0.009765967255489413,0.47208932432814754,0.007015219443337329,0.5178346555506933,0.0029877827247550954,0.0768997388524187,0.06832322708745778,0.4866875379918759,0.003816314557613764,0.5100228755278212,0.0039299702246978615
corum,ess,RandomForest,5,0.1396563986317684,0.009277408207219968,0.3165800869129897,0.008260630315221186,0.3839270478012952,0.0021920960889438546,0.10526546809831616,0.07663254109988558,0.4006387321566461,0.010111764192514982,0.43312211023488106,0.005756921929106247
corum,ess,RandomForest,6,0.1925750042855076,0.01181456143843243,0.39595962989102074,0.009565919651248284,0.445026850741439,0.005399713638091113,0.1196350166330481,0.09087816455669157,0.4247152209625746,0.005078628592914601,0.4626604657721189,0.005326975248206771
corum,ess,RandomForest,7,0.1884769865417235,0.010981983134470548,0.591884523168357,0.016674762158319666,0.6345547686669548,0.004769678579154174,0.10873030722182095,0.09179233616873005,0.49680309557953495,0.0037937692429352607,0.5314371752275505,0.0033746686736835225
corum,ess,RandomForest,8,0.19312959565212223,0.011020441706281098,0.4687058176421588,0.010012680868917264,0.5077231438405262,0.0038546994867644994,0.1192686227220493,0.0997479665139872,0.4652240175560123,0.007827886898988558,0.4877112398653193,0.0053884216275455876
corum,ess,RandomForest,9,0.271135748316368,0.013914987857414036,0.6023684186724393,0.012165636218066865,0.6437507108962519,0.00712419671072759,0.10909812882162825,0.09389981024369425,0.553038666393274,0.004529240566291491,0.5834654557863034,0.004609257665105361
corum,ess,RandomForest,10,0.1860980693182813,0.01602465980054251,0.48923601323982996,0.011087383066089711,0.5437832930275831,0.01156302816764474,0.15876739014190439,0.0851319200428021,0.4798588787365792,0.005840800997339146,0.5060286446065979,0.004592543015898427
corum,ess,RandomForest,11,0.24187835296429877,0.013449920743912502,0.5966825882160911,0.0058274346538860705,0.608365611052299,0.006063382097476788,0.17215305733764727,0.1171835990871358,0.5344231472218761,0.006690018251019314,0.5526625529832951,0.002696915158373322
corum,ess,RandomForest,12,0.15113213947611867,0.008678098433497459,0.3871181813175412,0.013089728417111413,0.4575262355761197,0.00639015165438064,0.1211267862888408,0.06990667802303964,0.41743027410016087,0.006454981907950122,0.45408951284212906,0.004324509612768777
corum,ess,RandomForest,13,0.15976008615458534,0.01542795141921414,0.4243044338993345,0.011517538941553471,0.46982699821472423,0.005684209699936064,0.08038193869723304,0.06683226613110965,0.4669368105316809,0.0077968730295251976,0.4875084291352648,0.0022565964426542926
corum,ess,RandomForest,14,0.16069562563958023,0.012645081692983054,0.39910893888595006,0.009258651547984893,0.46060130584004516,0.003980313722297582,0.09767420447581583,0.08281389310217056,0.4451125088680022,0.009943399671193448,0.4845679144859784,0.006555385389476335
corum,ess,RandomForest,15,0.16802530840772784,0.008789314248502865,0.4105928876178625,0.006562619072626314,0.46473627657250616,0.004198584275809426,0.18969154546495573,0.03398637846940804,0.42275907461109963,0.008750020091441912,0.4534494253524886,0.005490068706535317
