comparison,splits_file,n_splits,model,mean_diff,std_diff,cohens_dz,wins,losses,ties,p_greater,p_two_sided
hb_graph_vs_pairwise,ess_protein_splits.csv,50,LogisticRegression,0.058703047576704186,0.047527380548141394,1.2351416572862193,45,5,0,2.104926011270436e-09,4.209852022540872e-09
hb_graph_vs_hypergraph,ess_protein_splits.csv,50,LogisticRegression,0.01625933373799425,0.04065690086055939,0.399915718951593,39,11,0,4.5107450535653015e-05,9.021490107130603e-05
hypergraph_vs_pairwise,ess_protein_splits.csv,50,LogisticRegression,0.04244371383870995,0.04923709758916318,0.8620271282613454,42,8,0,5.81777902297631e-07,1.163555804595262e-06
hyper_flag_vs_hypergraph,ess_protein_splits.csv,50,LogisticRegression,0.017377618373112674,0.022253133067114097,0.780906595071482,42,8,0,5.81777902297631e-07,1.163555804595262e-06
hb_graph_vs_hyper_flag,ess_protein_splits.csv,50,LogisticRegression,-0.0011182846351184205,0.02975887548980707,-0.03757818858113279,22,28,0,0.8388818398212265,0.47988766169832786
