database,task,model,arm,feature,rank,mean_imp,std_imp,hit_rate,binom_p
corum,hpa,RandomForest,hyper,protein_MedianUniqueRatio,1,0.0561740095479662,0.0177736530852829,1.0,1.401298464324817e-45
corum,hpa,RandomForest,hyper,protein_MedComplexNodes,2,0.0411244481831442,0.0160722665715365,0.9933333333333332,2.1159606811304738e-43
corum,hpa,RandomForest,hyper,base_Degree,3,0.0278998649709638,0.016415224010067,0.94,1.2403361289530762e-31
corum,hpa,RandomForest,hyper,protein_RangeUniqueRatio,4,0.0177122399617949,0.0149983785969632,0.8066666666666666,1.4617211813693968e-14
corum,hpa,RandomForest,hyper,base_TriangleCount,5,0.013158797511984,0.0108284671405607,0.7266666666666667,2.613846398298242e-08
corum,hpa,RandomForest,hyper,protein_RangeComplexNodes,6,0.0101268403786557,0.0092210287481616,0.7,1.0588547527634432e-06
corum,hpa,RandomForest,hyper,stoich_MedianRatio,7,0.0088839067937318,0.0196001206161316,0.5066666666666667,0.9349614855143196
corum,hpa,RandomForest,hyper,base_AvgNeighbourDegree,8,0.0083930821815163,0.0091477554005706,0.5733333333333334,0.0860711031859706
corum,hpa,RandomForest,hyper,base_LocalClustCoeff,9,0.0077359941031437,0.0091340279965125,0.5133333333333333,0.8065959963978476
corum,hpa,RandomForest,hyper,base_UniquePartners,10,0.0029529683825593,0.0069236198807066,0.34,0.0001097817263706
corum,hpa,RandomForest,hyper,stoich_MedComplexSize,11,0.0027727234862413,0.0122871584104022,0.4133333333333333,0.040868493866494
corum,hpa,RandomForest,hyper,stoich_RangeComplexSize,12,8.532498137263818e-05,0.0016644809472851,0.0866666666666666,2.829047199141368e-27
corum,hpa,RandomForest,hyper,stoich_WeightedTriangles,13,5.170331622208673e-05,0.0014134644619695,0.08,2.642343883518912e-28
corum,hpa,RandomForest,hyper,stoich_RangeRatio,18,-0.0005099783600173,0.0013250361418673,0.04,2.0892552473120905e-35
corum,hpa,RandomForest,hyper,stoich_AvgNeighbourDegreeStoich,20,-0.0012233356700114,0.0022968483561317,0.0533333333333333,7.799950339037261e-33
corum,hpa,RandomForest,pair,pair_LocalClustCoeff,1,0.1371496362576453,0.0307414887075024,1.0,1.401298464324817e-45
corum,hpa,RandomForest,pair,pair_Degree,2,0.0623294683753369,0.0273256028020344,1.0,1.401298464324817e-45
corum,hpa,RandomForest,pair,pair_AvgNeighborDegree,3,0.0594941448561407,0.0222467601217167,1.0,1.401298464324817e-45
corum,hpa,RandomForest,pair,pair_TriangleCount,4,0.0340043308391095,0.0104248720694114,0.9933333333333332,2.1159606811304738e-43
corum,ess,RandomForest,hyper,base_TriangleCount,1,0.0651801717528878,0.0253115959968601,1.0,1.401298464324817e-45
corum,ess,RandomForest,hyper,protein_MedianUniqueRatio,2,0.0484380059820426,0.0162094312045626,1.0,1.401298464324817e-45
corum,ess,RandomForest,hyper,base_AvgNeighbourDegree,3,0.0370154807788546,0.018858632112072,1.0,1.401298464324817e-45
corum,ess,RandomForest,hyper,protein_MedComplexNodes,4,0.032714002305894,0.0151582508668145,1.0,1.401298464324817e-45
corum,ess,RandomForest,hyper,base_UniquePartners,5,0.0262211262635929,0.0188038584404399,0.9466666666666668,7.799950339037261e-33
corum,ess,RandomForest,hyper,protein_RangeComplexNodes,6,0.0223422684783731,0.0179763255793661,0.9,2.5548753585057904e-25
corum,ess,RandomForest,hyper,base_Degree,7,0.0213820871587942,0.0126050725801977,0.98,7.884069497892145e-40
corum,ess,RandomForest,hyper,protein_RangeUniqueRatio,8,0.0131904123581842,0.0098887199184335,0.86,3.74961648250968e-20
corum,ess,RandomForest,hyper,base_LocalClustCoeff,9,0.0077487452917831,0.0065026731836342,0.78,3.206401775087398e-12
corum,ess,RandomForest,hyper,stoich_MedianRatio,10,0.0011173352993492,0.0015922430873428,0.2466666666666666,3.8300702994382467e-10
corum,ess,RandomForest,hyper,stoich_AvgNeighbourDegreeStoich,11,0.0007732538456662,0.0010538828160895,0.22,3.206401775087398e-12
corum,ess,RandomForest,hyper,stoich_WeightedTriangles,12,0.0003336151766975,0.000698173503386,0.1266666666666666,9.06036169351255e-22
corum,ess,RandomForest,hyper,stoich_MedComplexSize,15,0.0001645178083556,0.0010241912954476,0.1533333333333333,1.250176910984885e-18
corum,ess,RandomForest,hyper,stoich_RangeComplexSize,17,-2.290718535572652e-05,0.0001168600030867,0.0866666666666666,2.829047199141368e-27
corum,ess,RandomForest,hyper,stoich_RangeRatio,18,-3.865654338286069e-05,0.0001535740660704,0.08,2.642343883518912e-28
corum,ess,RandomForest,pair,pair_TriangleCount,1,0.1614027566652642,0.0491147616987128,1.0,1.401298464324817e-45
corum,ess,RandomForest,pair,pair_Degree,2,0.0543443137813404,0.0279954447980287,0.9866666666666668,1.5871106406942878e-41
corum,ess,RandomForest,pair,pair_AvgNeighborDegree,3,0.0481643775453993,0.0321147068590023,0.96,2.0892552473120902e-35
corum,ess,RandomForest,pair,pair_LocalClustCoeff,4,0.0324382712778566,0.0157953944136137,1.0,1.401298464324817e-45
corum,chembl,RandomForest,hyper,protein_MedianUniqueRatio,1,0.06625310045084472,0.0257900572132722,0.9933333333333333,2.1159606811304738e-43
corum,chembl,RandomForest,hyper,protein_MedComplexNodes,2,0.06254089298396387,0.02594521334392519,0.9933333333333333,2.1159606811304738e-43
corum,chembl,RandomForest,hyper,base_Degree,3,0.044217008610787215,0.019281404800204488,0.9933333333333333,2.1159606811304738e-43
corum,chembl,RandomForest,hyper,base_TriangleCount,4,0.024550996327115993,0.013899862378881621,0.9133333333333333,2.829047199141368e-27
corum,chembl,RandomForest,hyper,protein_RangeComplexNodes,5,0.011253096023965752,0.009026563552675266,0.6466666666666666,0.0004097727655173999
corum,chembl,RandomForest,hyper,protein_RangeUniqueRatio,6,0.009518402902809052,0.009428963281532598,0.6,0.017597691928785734
corum,chembl,RandomForest,hyper,base_AvgNeighbourDegree,7,0.008047769122193153,0.018633081356974855,0.5533333333333333,0.22054483769441588
corum,chembl,RandomForest,hyper,base_LocalClustCoeff,8,0.006005383594400798,0.005882168603527297,0.38,0.004113298503347425
corum,chembl,RandomForest,hyper,stoich_MedianRatio,9,0.005238486749184766,0.024261471402885506,0.4533333333333333,0.28845574899076454
corum,chembl,RandomForest,hyper,base_UniquePartners,10,0.0038720617121117363,0.013449429083851069,0.37333333333333335,0.0024055162156063617
corum,chembl,RandomForest,hyper,stoich_AvgNeighbourDegreeStoich,12,0.000492479130187065,0.0019961166029357747,0.07333333333333333,2.2621587335491238e-29
corum,chembl,RandomForest,hyper,stoich_WeightedTriangles,17,-2.379239831268802e-05,0.001457223211326461,0.05333333333333334,7.799950339037261e-33
corum,chembl,RandomForest,hyper,stoich_RangeRatio,18,-4.768282535347834e-05,0.0004834042488592327,0.05333333333333334,7.799950339037261e-33
corum,chembl,RandomForest,hyper,stoich_RangeComplexSize,19,-0.00019199096401079996,0.0017873544224748378,0.04666666666666667,4.330280643440687e-34
corum,chembl,RandomForest,hyper,stoich_MedComplexSize,20,-0.0007968753991556865,0.017066992357756543,0.30666666666666664,2.471582905815955e-06
corum,chembl,RandomForest,pair,pair_LocalClustCoeff,1,0.19233022020327387,0.02814417874019139,1.0,1.401298464324817e-45
corum,chembl,RandomForest,pair,pair_AvgNeighborDegree,2,0.08193360698845313,0.0256095477678643,1.0,1.401298464324817e-45
corum,chembl,RandomForest,pair,pair_Degree,3,0.06690448527691549,0.026828036651492346,1.0,1.401298464324817e-45
corum,chembl,RandomForest,pair,pair_TriangleCount,4,0.03393259590354627,0.012749530779066268,0.98,7.884069497892145e-40
