split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,hypergraph_pr_auc,hyper_flag_pr_auc,hb_graph_pr_auc
1,4051,1071,12.021723031350284,12.138188608776844,0.3642729444477038,0.45748662705995113,0.46273812413657844,0.4663790097372752
2,4192,930,12.23759541984733,11.182795698924732,0.37714076270711194,0.459807373650686,0.4560243425810242,0.4480133220556096
3,3971,1151,12.238730798287586,11.381407471763684,0.336191128652858,0.4597516081627391,0.42675934979431596,0.42949662854451653
4,4212,910,12.369420702754036,10.54945054945055,0.3546011439431931,0.43636157354594146,0.4368111602562889,0.4410898448829513
5,4146,976,12.373371924746744,10.655737704918032,0.3657952247117294,0.42532542742085266,0.4269697163142219,0.3931187873359743
6,4208,914,12.286121673003802,10.940919037199125,0.40409018066470603,0.48176545557139816,0.48833232806193727,0.46347904172078447
7,4175,947,12.263473053892216,11.08764519535375,0.3966138596323446,0.42607758232365534,0.46764339329769467,0.39202847420808995
8,4199,923,12.00285782329126,12.242686890574214,0.35877335052678483,0.3907625639517775,0.4056501017351847,0.43054808335378325
9,4125,997,12.096969696969696,11.835506519558676,0.39058530468177505,0.43309697833036426,0.4308367559506674,0.42873227489212956
10,4074,1048,12.199312714776632,11.450381679389313,0.3893977964769887,0.5577739049094073,0.5800380098801109,0.5962887617477763
11,4137,985,12.13439690597051,11.6751269035533,0.4667142040822453,0.529042985932222,0.5298670156391386,0.5235925969573206
12,4196,926,11.796949475691134,13.174946004319654,0.4391581282171348,0.4895488553342051,0.5061273080138552,0.5008211616619886
13,4195,927,12.181168057210966,11.434735706580366,0.3401637359576559,0.42071062492723893,0.4271917971325384,0.4220028615154946
14,4124,998,12.293889427740059,11.022044088176353,0.39542028271586505,0.45022764345402083,0.46195660602196065,0.45604463836088194
15,4059,1063,12.071938901207194,11.947318908748825,0.42704407591786636,0.5386907248828666,0.5215541476910847,0.505173395329012
16,3987,1135,11.963882618510159,12.334801762114537,0.42767289135295694,0.4767194702373859,0.44124539556709813,0.46250975135350014
17,3963,1159,12.414837244511734,10.785159620362382,0.4108442553354953,0.47304158911674876,0.4694909556693385,0.47933289178204597
18,4230,892,12.15130023640662,11.547085201793722,0.38680164216707247,0.43112701426263805,0.42659857810718566,0.4487056491349094
19,3913,1209,12.343470483005367,11.083540115798181,0.3626246386611932,0.4609965871872199,0.4722593038586041,0.4545556727031038
20,3992,1130,11.823647294589177,12.831858407079647,0.416496388282783,0.5026997614462198,0.49128273235049286,0.480779224157762
21,4150,972,12.216867469879517,11.316872427983538,0.4998296020005596,0.5294796448419756,0.5154737289102042,0.5179123873036566
22,4228,894,12.204351939451277,11.297539149888143,0.4037776465652061,0.48797195392669573,0.48014625770918273,0.483083493674027
23,3952,1170,11.867408906882591,12.649572649572649,0.3643189731055746,0.4477454810030728,0.4455275013777247,0.43766882259741957
24,4128,994,12.185077519379844,11.468812877263582,0.3338046212015617,0.43902790329399094,0.4289617501594305,0.4259394555088456
25,3968,1154,11.769153225806452,12.99826689774697,0.41255630166811663,0.5252468032236773,0.5327535290859273,0.5161540899599683
26,4221,901,11.892916370528312,12.763596004439512,0.2893038415136463,0.3798221748222317,0.3694552927131534,0.36963779574036726
27,4148,974,11.909353905496625,12.628336755646819,0.37737554039081334,0.46715115403894775,0.462469624280288,0.47018277038096334
28,4209,913,12.21192682347351,11.281489594742606,0.3972928730780026,0.4591521351869591,0.48972035138242664,0.46170115934907885
29,4206,916,11.959106038991916,12.445414847161572,0.40617634353751897,0.4576868509751323,0.4399133025614743,0.4116498556213006
30,3981,1141,11.956794775182116,12.357581069237511,0.3666862923758788,0.4757287107206926,0.46519907680533235,0.44568991759046794
31,4236,886,12.346553352219075,10.609480812641085,0.3078268913869741,0.43687780051736597,0.4302340062843836,0.4024139669527126
32,3950,1172,11.924050632911392,12.457337883959044,0.39726423517751247,0.4940674432243792,0.4984964375696408,0.5041901400162281
33,4211,911,12.18237948230824,11.416026344676181,0.4418399455824739,0.5063996046862693,0.5093411607407248,0.5140747040710908
34,4077,1045,12.116752514103506,11.770334928229666,0.3365063719977484,0.5656514440451066,0.5795197616317259,0.5672502001924362
35,4027,1095,12.043704991308667,12.054794520547945,0.4589954457799893,0.47958001191700167,0.4708894761963887,0.48149714407238103
36,4146,976,12.397491558128317,10.55327868852459,0.361044106081505,0.46404328695677693,0.46593585550095323,0.47564709801471894
37,3917,1205,12.356395200408476,11.037344398340249,0.3735118721730775,0.4357812230415345,0.45081796716023703,0.4352712812684798
38,4067,1055,11.900663880009835,12.606635071090047,0.4142354828662227,0.4752901310962865,0.475785397258982,0.4620567579798446
