split_index,seed_accepted,attempts,accepted,validation_ok,validation_problems,train_n,train_pct,test_n,test_pct,test_size_deviation_pp,size_warning,train_n_positive,test_n_positive,train_n_negative,test_n_negative,train_unknown,test_unknown,train_pos_rate_pct,test_pos_rate_pct,test_deviation_pp,warning,leakage_violations,large_test_n,medium_test_n,small_test_n,singleton_test_n,large_test_pct,medium_test_pct,small_test_pct,singleton_test_pct,large_test_rate_pct,medium_test_rate_pct,small_test_rate_pct,singleton_test_rate_pct
1,2042,3,True,True,,2768,81.56,626,18.44,1.56,False,219,53,2544,572,0,0,7.93,8.48,0.45,False,0,139,223,153,110,14.3,20.7,19.3,20.0,5.0,12.1,7.8,6.4
2,2043,3,True,True,,2698,79.49,696,20.51,0.51,False,215,57,2478,638,0,0,7.98,8.2,0.17,False,0,209,216,160,110,21.5,20.1,20.2,20.0,14.8,3.2,5.0,10.0
3,5044,6,True,True,,2709,79.82,685,20.18,0.18,False,211,61,2493,623,0,0,7.8,8.92,0.89,False,0,220,198,156,110,22.7,18.4,19.7,20.0,0.9,13.1,16.0,7.3
4,4045,5,True,True,,2778,81.85,616,18.15,1.85,False,217,55,2556,560,0,0,7.83,8.94,0.91,False,0,129,222,154,110,13.3,20.7,19.4,20.0,6.2,14.9,3.2,8.2
5,46,1,True,True,,2604,76.72,790,23.28,3.28,False,197,75,2402,714,0,0,7.58,9.51,1.48,False,0,298,216,165,110,30.7,20.1,20.8,20.0,10.7,10.6,8.5,5.5
6,2047,3,True,True,,2710,79.85,684,20.15,0.15,False,225,47,2480,636,0,0,8.32,6.88,1.15,False,0,171,237,165,110,17.6,22.0,20.8,20.0,7.6,7.6,5.5,6.4
7,48,1,True,True,,2787,82.12,607,17.88,2.12,False,230,42,2552,564,0,0,8.27,6.93,1.1,False,0,140,217,139,110,14.4,20.2,17.5,20.0,6.4,9.7,4.3,5.5
8,4049,5,True,True,,2748,80.97,646,19.03,0.97,False,216,56,2527,589,0,0,7.87,8.68,0.65,False,0,155,225,155,110,16.0,20.9,19.5,20.0,11.6,8.9,8.4,4.5
9,50,1,True,True,,2818,83.03,576,16.97,3.03,False,232,40,2581,535,0,0,8.25,6.96,1.07,False,0,130,173,162,110,13.4,16.1,20.4,20.0,3.1,9.8,4.3,10.9
10,2051,3,True,True,,2768,81.56,626,18.44,1.56,False,215,57,2548,568,0,0,7.78,9.12,1.09,False,0,132,226,157,110,13.6,21.0,19.8,20.0,16.7,7.5,5.1,9.1
11,3052,4,True,True,,2745,80.88,649,19.12,0.88,False,228,44,2512,604,0,0,8.32,6.79,1.24,False,0,164,216,158,110,16.9,20.1,19.9,20.0,1.8,8.3,9.5,7.3
12,3053,4,True,True,,2757,81.23,637,18.77,1.23,False,214,58,2538,578,0,0,7.78,9.12,1.09,False,0,137,233,156,110,14.1,21.7,19.7,20.0,19.7,6.4,5.8,6.4
13,54,1,True,True,,2675,78.82,719,21.18,1.18,False,206,66,2464,652,0,0,7.72,9.19,1.16,False,0,240,216,152,110,24.7,20.1,19.2,20.0,14.2,5.6,6.6,9.1
14,55,1,True,True,,2718,80.08,676,19.92,0.08,False,227,45,2486,630,0,0,8.37,6.67,1.36,False,0,218,189,158,110,22.5,17.6,19.9,20.0,7.8,10.1,1.9,5.5
15,2056,3,True,True,,2736,80.61,658,19.39,0.61,False,217,55,2514,602,0,0,7.95,8.37,0.34,False,0,174,216,157,110,17.9,20.1,19.8,20.0,6.3,7.4,11.5,9.1
16,4057,5,True,True,,2757,81.23,637,18.77,1.23,False,230,42,2522,594,0,0,8.36,6.6,1.43,False,0,159,206,161,110,16.4,19.2,20.3,20.0,6.9,6.8,3.1,10.9
17,1058,2,True,True,,2707,79.76,687,20.24,0.24,False,207,65,2495,621,0,0,7.66,9.48,1.45,False,0,216,197,163,110,22.3,18.3,20.6,20.0,15.7,5.1,8.6,6.4
18,59,1,True,True,,2698,79.49,696,20.51,0.51,False,209,63,2484,632,0,0,7.76,9.06,1.03,False,0,199,220,166,110,20.5,20.5,20.9,20.0,16.1,8.6,3.0,6.4
