split_index,n_train,n_test,train_dt_pct,test_dt_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2719,669,8.606105185730048,5.680119581464873,0.3584119140466573,0.2116788321167883,0.3530988980340543,0.23272727272727273,0.43532452535197075,0.25196850393700787,0.07691261130531346,0.04028967182021956,0.08222562731791644,0.019241231209735143
2,2741,647,7.515505290040131,10.200927357032457,0.45517589742556414,0.38202247191011235,0.5333891608336051,0.424,0.5637793547952271,0.4576271186440678,0.10860345736966298,0.07560464673395545,0.030390193961622014,0.03362711864406781
3,2689,699,8.218668650055783,7.296137339055794,0.2229465964637013,0.23655913978494625,0.21123348043754095,0.25735294117647056,0.2581168301604579,0.2693877551020408,0.03517023369675659,0.03282861531709458,0.04688334972291694,0.012034813925570265
4,2786,602,7.932519741564968,8.471760797342192,0.1651551174773608,0.26556016597510373,0.3132770106036513,0.31666666666666665,0.3544546061231374,0.30701754385964913,0.1892994886457766,0.0414573778845454,0.04117759551948608,-0.009649122807017518
5,2727,661,8.14081408140814,7.564296520423601,0.30691984942375816,0.2980769230769231,0.38086252809769416,0.3318777292576419,0.4306347850817839,0.32727272727272727,0.12371493565802572,0.029195804195804198,0.04977225698408971,-0.004605001984914647
6,2761,627,8.185440057950018,7.336523125996811,0.1858671346840374,0.24561403508771928,0.21478587899683077,0.27615062761506276,0.22130123483647487,0.29107981220657275,0.035434100152437475,0.04546577711885347,0.006515355839644105,0.014929184591509992
7,2702,686,7.438934122871947,10.349854227405247,0.2831031760101703,0.3250883392226148,0.3768315506250186,0.4,0.4192636753303165,0.4166666666666667,0.13616049932014618,0.09157832744405187,0.04243212470529789,0.016666666666666663
8,2787,601,8.144958736993182,7.487520798668886,0.528496009310491,0.3064516129032258,0.5440053393806455,0.31906614785992216,0.6384071610938419,0.36199095022624433,0.10991115178335087,0.05553933732301852,0.09440182171319633,0.04292480236632218
9,2739,649,8.287696239503468,6.933744221879815,0.2044884491988202,0.273972602739726,0.33029238432146174,0.3438914027149321,0.3451920699064037,0.32407407407407407,0.14070362070758352,0.05010147133434806,0.01489968558494198,-0.019817328640858056
10,2672,716,7.709580838323353,9.217877094972067,0.3916401605602649,0.3161290322580645,0.38779523337140853,0.3058103975535168,0.4164721309884182,0.32666666666666666,0.02483197042815327,0.01053763440860217,0.028676897617009645,0.02085626911314986
11,2700,688,7.9259259259259265,8.430232558139535,0.30928353107077083,0.2916666666666667,0.30739341911437357,0.32575757575757575,0.34325443840728037,0.3274336283185841,0.03397090733650954,0.035766961651917395,0.035861019292906804,0.0016760525610083343
12,2721,667,8.122013965453876,7.646176911544228,0.352751682727781,0.3467741935483871,0.4141506844258601,0.35684647302904565,0.4751532769636622,0.38596491228070173,0.1224015942358812,0.03919071873231461,0.0610025925378021,0.02911843925165608
13,2694,694,7.609502598366741,9.654178674351584,0.19856784553889442,0.2277580071174377,0.318886636733642,0.3125,0.3657214292184747,0.33793103448275863,0.1671535836795803,0.11017302736532092,0.046834792484832743,0.02543103448275863
14,2688,700,8.18452380952381,7.428571428571429,0.2705194603062638,0.292358803986711,0.36036689085375156,0.32727272727272727,0.408304768010549,0.3225806451612903,0.1377853077042852,0.030221841174579323,0.047937877156797426,-0.004692082111436957
15,2759,629,8.04639362087713,7.94912559618442,0.2858201893472583,0.3179916317991632,0.3897283589491243,0.334841628959276,0.423878442469802,0.36363636363636365,0.13805825312254372,0.04564473183720047,0.03415008352067772,0.028794734677087652
