gene,essential_category,database,Protein
ATG13,Non-essential,D,O75143
ICOSLG,Non-essential,D,O75144
PPFIA3,Non-essential,D,O75145
HIP1R,Non-essential,D,O75146
OBSL1,Non-essential,D,O75147
RNF40,Non-essential,D,O75150
PHF2,Non-essential,D,O75151
ZC3H11A,Non-essential,D,O75152
CLUH,Non-essential,D,O75153
RAB11FIP3,Non-essential,D,O75154
CAND2,Non-essential,D,O75155
TSC22D2,Non-essential,D,O75157
SOCS5,Non-essential,D,O75159
NPHP4,Non-essential,D,O75161
KDM4A,Non-essential,D,O75164
DNAJC13,Non-essential,D,O75165
PHACTR2,Non-essential,D,O75167
PPP6R2,Non-essential,D,O75170
ADAMTS4,Cancer,O,O75173
CNOT3,Core,D,O75175
SS18L1,Non-essential,D,O75177
ANKRD17,Non-essential,D,O75179
SIN3B,Non-essential,D,O75182
ATP2C2,Non-essential,D,O75185
DNAJB6,Non-essential,D,O75190
XYLB,Non-essential,D,O75191
PEX11A,Non-essential,D,O75192
LRP5,Non-essential,D,O75197
TMEM127,Non-essential,D,O75204
COQ9,Non-essential,D,O75208
GGCT,Non-essential,D,O75223
NDUFS7,Non-essential,D,O75251
SMIM24,Non-essential,D,O75264
ZNF780A,Non-essential,D,O75290
GADD45B,Non-essential,D,O75293
RTN2,Non-essential,D,O75298
NDUFS2,Non-essential,D,O75306
CDH16,Non-essential,D,O75309
UGT2B11,Non-essential,D,O75310
GLRA3,Non-essential,D,O75311
ZPR1,Core,D,O75312
USP12,Non-essential,D,O75317
NIPSNAP2,Non-essential,D,O75323
SNN,Non-essential,D,O75324
LRRN2,Non-essential,D,O75325
SEMA7A,Non-essential,D,O75326
HMMR,Non-essential,D,O75330
TBX10,Non-essential,D,O75333
PPFIA2,Non-essential,D,O75334
PPFIA4,Non-essential,D,O75335
CILP,Non-essential,D,O75339
PDCD6,Non-essential,D,O75340
ALOX12B,Non-essential,D,O75342
FKBP6,Non-essential,D,O75344
ZNF253,Non-essential,D,O75346
TBCA,Core,D,O75347
ATP6V1G1,Core,D,O75348
VPS4B,Non-essential,D,O75351
MPDU1,Non-essential,D,O75352
ENTPD6,Non-essential,D,O75354
ENTPD3,Non-essential,D,O75355
ENTPD5,Non-essential,D,O75356
PROP1,Non-essential,D,O75360
ZNF217,Non-essential,D,O75362
BCAS1,Cancer,O,O75363
PITX3,Non-essential,D,O75364
PTP4A3,Non-essential,D,O75365
AVIL,Non-essential,D,O75366
MACROH2A1,Non-essential,D,O75367
SH3BGRL,Cancer,O,O75368
FLNB,Non-essential,D,O75369
ZNF737,Non-essential,D,O75373
NCOR1,Non-essential,D,O75376
VAMP4,Non-essential,D,O75379
NDUFS6,Non-essential,D,O75380
PEX14,Non-essential,D,O75381
TRIM3,Non-essential,D,O75382
ULK1,Non-essential,D,O75385
TULP3,Non-essential,D,O75386
SLC43A1,Non-essential,D,O75387
GPR32,Non-essential,D,O75388
CS,Non-essential,D,O75390
SPAG7,Cancer,O,O75391
MRPL33,Cancer,O,O75394
SEC22B,Non-essential,D,O75396
DEAF1,Non-essential,D,O75398
PRPF40A,Core,B,O75400
H2AP,Non-essential,D,O75409
TACC1,Non-essential,D,O75410
NME6,Cancer,O,O75414
POLQ,Non-essential,D,O75417
CDC45,Core,B,O75419
GIGYF1,Non-essential,D,O75420
MOSPD3,Non-essential,D,O75425
FBXO24,Non-essential,D,O75426
LRCH4,Non-essential,D,O75427
MTX2,Non-essential,D,O75431
VPS26A,Non-essential,D,O75436
ZNF254,Non-essential,D,O75437
NDUFB1,Non-essential,D,O75438
PMPCB,Core,B,O75439
TECTA,Non-essential,D,O75443
MAF,Non-essential,D,O75444
USH2A,Non-essential,D,O75445
SAP30,Non-essential,D,O75446
MED24,Non-essential,D,O75448
KATNA1,Non-essential,D,O75449
RDH16,Non-essential,D,O75452
PAGE1,Non-essential,D,O75459
ERN1,Non-essential,D,O75460
E2F6,Non-essential,D,O75461
CRLF1,Non-essential,D,O75462
ZNF324,Cancer,O,O75467
NR1I2,Cancer,O,O75469
LGR5,Non-essential,D,O75473
FRAT2,Non-essential,D,O75474
PSIP1,Non-essential,D,O75475
ERLIN1,Non-essential,D,O75477
TADA2A,Non-essential,D,O75478
SUPT3H,Non-essential,D,O75486
GPC4,Non-essential,D,O75487
NDUFS3,Non-essential,D,O75489
CA11,Cancer,O,O75493
SRSF10,Core,D,O75494
GMNN,Non-essential,D,O75496
CLN5,Non-essential,D,O75503
HSBP1,Non-essential,D,O75506
CLDN11,Non-essential,D,O75508
TNFRSF21,Non-essential,D,O75509
ECI2,Non-essential,D,O75521
KHDRBS3,Non-essential,D,O75525
RBMXL2,Non-essential,D,O75526
TADA3,Non-essential,D,O75528
TAF5L,Non-essential,D,O75529
EED,Non-essential,D,O75530
BANF1,Core,D,O75531
SF3B1,Core,D,O75533
CSDE1,Non-essential,D,O75534
ZNF821,Non-essential,D,O75541
DAB1,Non-essential,D,O75553
WBP4,Cancer,O,O75554
SCGB2A1,Non-essential,D,O75556
STX11,Non-essential,D,O75558
SKAP2,Non-essential,D,O75563
JRK,Non-essential,D,O75564
PRKRA,Non-essential,D,O75569
MTRF1,Non-essential,D,O75570
CRCP,Core,D,O75575
ITGA10,Non-essential,D,O75578
LRP6,Cancer,O,O75581
RPS6KA5,Cancer,O,O75582
MED6,Core,B,O75586
FOXH1,Non-essential,D,O75593
PGLYRP1,Non-essential,D,O75594
CLEC3A,Non-essential,D,O75596
GCAT,Cancer,O,O75600
SPAG6,Non-essential,D,O75602
GCM2,Non-essential,D,O75603
USP2,Non-essential,D,O75604
NPM3,Non-essential,D,O75607
LYPLA1,Non-essential,D,O75608
LEFTY1,Non-essential,D,O75610
ERAL1,Non-essential,D,O75616
DEDD,Non-essential,D,O75618
PRDM1,Non-essential,D,O75626
REM1,Non-essential,D,O75628
CREG1,Non-essential,D,O75629
UPK3A,Non-essential,D,O75631
SERPINB7,Non-essential,D,O75635
FCN3,Non-essential,D,O75636
CTAG2,Non-essential,D,O75638
SNRNP200,Core,B,O75643
TRMU,Non-essential,D,O75648
TIPRL,Non-essential,D,O75663
OFD1,Non-essential,D,O75665
TOM1L1,Non-essential,D,O75674
RPS6KA4,Non-essential,D,O75676
RFPL1,Non-essential,D,O75677
RFPL2,Non-essential,D,O75678
RFPL3,Non-essential,D,O75679
SURF6,Core,D,O75683
PPM1B,Non-essential,D,O75688
ADAP1,Non-essential,D,O75689
KRTAP5-8,Non-essential,D,O75690
UTP20,Core,D,O75691
NUP155,Core,B,O75694
RP2,Non-essential,D,O75695
SCRG1,Non-essential,D,O75711
GJB3,Non-essential,D,O75712
GPX5,Non-essential,D,O75715
STK16,Non-essential,D,O75716
WDHD1,Core,B,O75717
CRTAP,Non-essential,D,O75718
SLC25A12,Cancer,O,O75746
PIK3C2G,Cancer,O,O75747
SLC22A3,Non-essential,D,O75751
B3GALNT1,Non-essential,D,O75752
TRPA1,Cancer,O,O75762
TCEA3,Non-essential,D,O75764
RAD51D,Non-essential,D,O75771
PALM,Cancer,O,O75781
RHBDL1,Non-essential,D,O75783
ATP6AP2,Core,D,O75787
GRAP2,Non-essential,D,O75791
RNASEH2A,Non-essential,D,O75792
CDC123,Core,B,O75794
UGT2B17,Non-essential,D,O75795
ZMYND10,Non-essential,D,O75800
PPP1R15A,Cancer,O,O75807
CAPN15,Cancer,O,O75808
BCAR3,Non-essential,D,O75815
POP7,Core,O,O75817
RPP40,Core,D,O75818
ZNF189,Non-essential,D,O75820
EIF3G,Core,D,O75821
EIF3J,Non-essential,D,O75822
CBR3,Non-essential,D,O75828
CNMD,Non-essential,D,O75829
SERPINI2,Cancer,O,O75830
PSMD10,Non-essential,D,O75832
CIB2,Non-essential,D,O75838
KLF7,Non-essential,D,O75840
UPK1B,Non-essential,D,O75841
AP1G2,Non-essential,D,O75843
ZMPSTE24,Non-essential,D,O75844
SC5D,Non-essential,D,O75845
PPP1R37,Non-essential,D,O75864
TRAPPC6A,Non-essential,D,O75865
CEACAM4,Cancer,O,O75871
IDH1,Non-essential,D,O75874
GATB,Non-essential,D,O75879
SCO1,Cancer,O,O75880
CYP7B1,Non-essential,D,O75881
ATRN,Cancer,O,O75882
RBBP9,Cancer,O,O75884
STAM2,Non-essential,D,O75886
TNFSF13,Non-essential,D,O75888
ALDH1L1,Non-essential,D,O75891
TUSC2,Non-essential,D,O75896
SULT1C4,Non-essential,D,O75897
GABBR2,Non-essential,D,O75899
MMP23B,Non-essential,D,O75900
RASSF9,Cancer,O,O75901
DGAT1,Non-essential,D,O75907
SOAT2,Non-essential,D,O75908
CCNK,Core,B,O75909
DHRS3,Non-essential,D,O75911
DGKI,Non-essential,D,O75912
PAK3,Non-essential,D,O75914
ARL6IP5,Non-essential,D,O75915
RGS9,Non-essential,D,O75916
DYSF,Non-essential,D,O75923
PIAS1,Non-essential,D,O75925
PIAS2,Cancer,O,O75928
BCAS2,Core,B,O75934
DCTN3,Core,D,O75935
BBOX1,Non-essential,D,O75936
DNAJC8,Core,D,O75937
SMNDC1,Core,B,O75940
RAD17,Core,D,O75943
ATP5PD,Non-essential,D,O75947
NALF2,Non-essential,D,O75949
LYZL6,Non-essential,D,O75951
CABYR,Non-essential,D,O75952
DNAJB5,Non-essential,D,O75953
TSPAN9,Non-essential,D,O75954
FLOT1,Non-essential,D,O75955
CDK2AP2,Non-essential,D,O75956
TRIO,Non-essential,D,O75962
ATP5MG,Non-essential,D,O75964
AKAP3,Non-essential,D,O75969
MPDZ,Cancer,O,O75970
SNAPC5,Core,D,O75971
C1QL1,Non-essential,D,O75973
CPD,Non-essential,D,O75976
SASH3,Non-essential,D,O75995
OR2B3,Non-essential,D,O76000
OR2J3,Non-essential,D,O76001
OR2J2,Non-essential,D,O76002
GLRX3,Non-essential,D,O76003
KRT33A,Non-essential,D,O76009
KRT34,Non-essential,D,O76011
KRT36,Non-essential,D,O76013
KRT37,Non-essential,D,O76014
KRT38,Non-essential,D,O76015
RSL1D1,Core,B,O76021
WFS1,Non-essential,D,O76024
ANXA9,Non-essential,D,O76027
CLPX,Non-essential,D,O76031
NCR1,Non-essential,D,O76036
SCGN,Non-essential,D,O76038
CDKL5,Non-essential,D,O76039
NEBL,Non-essential,D,O76041
NEURL1,Non-essential,D,O76050
SEC14L2,Cancer,O,O76054
STC2,Non-essential,D,O76061
TM7SF2,Non-essential,D,O76062
RNF8,Non-essential,D,O76064
SNCG,Non-essential,D,O76070
CIAO1,Core,D,O76071
PDE5A,Non-essential,D,O76074
DFFB,Non-essential,D,O76075
CCN5,Non-essential,D,O76076
ZFAND5,Non-essential,D,O76080
RGS20,Non-essential,D,O76081
SLC22A5,Non-essential,D,O76082
PDE9A,Non-essential,D,O76083
BEST1,Cancer,O,O76090
FGF18,Non-essential,D,O76093
SRP72,Core,D,O76094
JTB,Non-essential,D,O76095
CST7,Cancer,O,O76096
OR7C1,Non-essential,D,O76099
OR7A10,Non-essential,D,O76100
DXO,Non-essential,D,O77932
TRPM2,Non-essential,D,O94759
DDAH1,Non-essential,D,O94760
RECQL4,Non-essential,D,O94761
RECQL5,Non-essential,D,O94762
URI1,Core,B,O94763
B3GAT3,Cancer,O,O94766
STK17B,Cancer,O,O94768
ECM2,Non-essential,D,O94769
LY6H,Non-essential,D,O94772
MTA2,Non-essential,D,O94776
DPM2,Non-essential,D,O94777
AQP8,Non-essential,D,O94778
CNTN5,Cancer,O,O94779
USP1,Non-essential,D,O94782
ALDH1A2,Non-essential,D,O94788
STK10,Non-essential,D,O94804
ACTL6B,Non-essential,D,O94805
PRKD3,Non-essential,D,O94806
GFPT2,Non-essential,D,O94808
RGS11,Non-essential,D,O94810
TPPP,Cancer,O,O94811
BAIAP3,Non-essential,D,O94812
SLIT2,Non-essential,D,O94813
ATG12,Non-essential,D,O94817
NOL4,Non-essential,D,O94818
KBTBD11,Non-essential,D,O94819
LTN1,Non-essential,D,O94822
ATP10B,Non-essential,D,O94823
TOMM70,Non-essential,D,O94826
PLEKHG5,Non-essential,D,O94827
IPO13,Core,B,O94829
DDHD2,Non-essential,D,O94830
MYO1D,Cancer,O,O94832
TOX4,Cancer,O,O94842
RHOBTB1,Non-essential,D,O94844
DDN,Non-essential,D,O94850
MICAL2,Non-essential,D,O94851
MACF1,Non-essential,D,O94854
SEC24D,Non-essential,D,O94855
NFASC,Non-essential,D,O94856
SUPT7L,Non-essential,D,O94864
FCHSD2,Non-essential,D,O94868
UFL1,Non-essential,D,O94874
SORBS2,Non-essential,D,O94875
TMCC1,Non-essential,D,O94876
PHF14,Non-essential,D,O94880
SASH1,Non-essential,D,O94885
TMEM63A,Non-essential,D,O94886
FARP2,Non-essential,D,O94887
UBXN7,Non-essential,D,O94888
KLHL18,Non-essential,D,O94889
ZNF432,Non-essential,D,O94892
LRIG2,Non-essential,D,O94898
TOX,Non-essential,D,O94900
SUN1,Non-essential,D,O94901
PLPBP,Non-essential,D,O94903
ERLIN2,Non-essential,D,O94905
PRPF6,Core,B,O94906
DKK1,Non-essential,D,O94907
ADGRL1,Non-essential,D,O94910
ABCA8,Non-essential,D,O94911
PCF11,Core,D,O94913
FRYL,Non-essential,D,O94915
NFAT5,Non-essential,D,O94916
ENDOD1,Non-essential,D,O94919
CDK14,Non-essential,D,O94921
GLCE,Non-essential,D,O94923
GLS,Non-essential,D,O94925
HAUS5,Core,B,O94927
ABLIM3,Non-essential,D,O94929
SLITRK3,Non-essential,D,O94933
UBOX5,Non-essential,D,O94941
FBXO21,Non-essential,D,O94952
KDM4B,Non-essential,D,O94953
RHOBTB3,Cancer,O,O94955
SLCO2B1,Non-essential,D,O94956
MTCL2,Non-essential,D,O94964
USP19,Non-essential,D,O94966
WDR47,Non-essential,D,O94967
TRIM37,Non-essential,D,O94972
AP2A2,Non-essential,D,O94973
SEC31A,Non-essential,D,O94979
CAMTA2,Non-essential,D,O94983
CLSTN1,Cancer,O,O94985
CEP152,Non-essential,D,O94986
FAM13A,Non-essential,D,O94988
ARHGEF15,Non-essential,D,O94989
SLITRK5,Non-essential,D,O94991
HEXIM1,Non-essential,D,O94992
SOX30,Non-essential,D,O94993
OR2F2,Non-essential,D,O95006
OR6B1,Non-essential,D,O95007
SEMA3D,Cancer,O,O95025
UPP2,Non-essential,D,O95045
TJP3,Non-essential,D,O95049
INMT,Non-essential,D,O95050
DIRAS1,Cancer,O,O95057
RPP14,Core,D,O95059
CCNB2,Non-essential,D,O95067
KCNK2,Cancer,O,O95069
YIF1A,Non-essential,D,O95070
UBR5,Non-essential,D,O95071
REC8,Non-essential,D,O95072
FSBP,Non-essential,D,O95073
ALX3,Non-essential,D,O95076
AGFG2,Non-essential,D,O95081
PRSS23,Non-essential,D,O95084
NKX2-2,Non-essential,D,O95096
SCAF4,Cancer,O,O95104
ZNF202,Non-essential,D,O95125
S1PR2,Non-essential,D,O95136
NDUFB6,Non-essential,D,O95139
MFN2,Non-essential,D,O95140
DUSP14,Non-essential,D,O95147
SNUPN,Core,D,O95149
TNFSF15,Non-essential,D,O95150
TSPOAP1,Non-essential,D,O95153
AKR7A3,Non-essential,D,O95154
UBE4B,Non-essential,D,O95155
NXPH2,Non-essential,D,O95156
NXPH3,Non-essential,D,O95157
NXPH4,Non-essential,D,O95158
ZFPL1,Non-essential,D,O95159
ELP1,Core,D,O95163
UBL3,Non-essential,D,O95164
GABARAP,Non-essential,D,O95166
NDUFA3,Non-essential,D,O95167
NDUFB4,Non-essential,D,O95168
NDUFB8,Non-essential,D,O95169
FBXW10B,Non-essential,D,O95170
SCEL,Cancer,O,O95171
NDUFB2,Non-essential,D,O95178
CACNA1H,Non-essential,D,O95180
NDUFA7,Non-essential,D,O95182
VAMP5,Non-essential,D,O95183
UNC5C,Non-essential,D,O95185
OAZ2,Non-essential,D,O95190
CSPG5,Non-essential,D,O95196
RTN3,Non-essential,D,O95197
KLHL2,Non-essential,D,O95198
RCBTB2,Non-essential,D,O95199
ZNF205,Non-essential,D,O95201
LETM1,Core,D,O95202
PCDH8,Non-essential,D,O95206
EPN2,Non-essential,D,O95208
STBD1,Non-essential,D,O95210
LEPROTL1,Non-essential,D,O95214
ZRANB2,Non-essential,D,O95218
SNX4,Non-essential,D,O95219
OR5F1,Non-essential,D,O95221
OR6A2,Non-essential,D,O95222
ZWINT,Non-essential,D,O95229
VENTX,Cancer,O,O95231
LUC7L3,Core,B,O95232
KIF20A,Non-essential,D,O95235
APOL3,Non-essential,D,O95236
LRAT,Non-essential,D,O95237
SPDEF,Non-essential,D,O95238
KIF4A,Non-essential,D,O95239
MBD4,Non-essential,D,O95243
SBF1,Cancer,O,O95248
GOSR1,Non-essential,D,O95249
KAT7,Non-essential,D,O95251
ABCC6,Non-essential,D,O95255
IL18RAP,Non-essential,D,O95256
GADD45G,Cancer,O,O95257
SLC25A14,Non-essential,D,O95258
KCNH1,Non-essential,D,O95259
ATE1,Non-essential,D,O95260
PDE8B,Non-essential,D,O95263
HTR3B,Non-essential,D,O95264
RASGRP1,Non-essential,D,O95267
TNKS,Non-essential,D,O95271
CCNDBP1,Non-essential,D,O95273
LYPD3,Non-essential,D,O95274
EPM2A,Non-essential,D,O95278
KCNK5,Non-essential,D,O95279
VAPB,Non-essential,D,O95292
RASAL1,Non-essential,D,O95294
SNAPIN,Cancer,O,O95295
MPZL1,Non-essential,D,O95297
NDUFC2,Non-essential,D,O95298
NDUFA10,Non-essential,D,O95299
FKBP9,Non-essential,D,O95302
CELF2,Non-essential,D,O95319
PGLS,Non-essential,D,O95336
PAPSS2,Non-essential,D,O95340
ABCB11,Non-essential,D,O95342
SIX3,Non-essential,D,O95343
SMC2,Core,D,O95347
ATG7,Non-essential,D,O95352
TACC2,Non-essential,D,O95359
TRIM16,Non-essential,D,O95361
FARS2,Non-essential,D,O95363
ZBTB7A,Non-essential,D,O95365
OR2C1,Non-essential,D,O95371
LYPLA2,Non-essential,D,O95372
IPO7,Core,D,O95373
ARIH2,Non-essential,D,O95376
GJB5,Non-essential,D,O95377
TNFAIP8,Non-essential,D,O95379
MAP3K6,Non-essential,D,O95382
CCN4,Non-essential,D,O95388
CCN6,Non-essential,D,O95389
GDF11,Non-essential,D,O95390
SLU7,Core,B,O95391
BMP10,Non-essential,D,O95393
PGM3,Non-essential,D,O95394
GCNT3,Non-essential,D,O95395
MOCS3,Core,D,O95396
RAPGEF3,Non-essential,D,O95398
UTS2,Cancer,O,O95399
CD2BP2,Non-essential,D,O95400
MED26,Core,D,O95402
ZFYVE9,Non-essential,D,O95405
CNIH1,Non-essential,D,O95406
TNFRSF6B,Non-essential,D,O95407
ZIC2,Non-essential,D,O95409
BRI3,Non-essential,D,O95415
SOX14,Non-essential,D,O95416
DEXI,Non-essential,D,O95424
SVIL,Non-essential,D,O95425
PIGN,Non-essential,D,O95427
PAPLN,Cancer,O,O95428
BAG4,Non-essential,D,O95429
AHSA1,Non-essential,D,O95433
SLC34A2,Cancer,O,O95436
APOM,Non-essential,D,O95445
LCA5L,Non-essential,D,O95447
ADAMTS2,Non-essential,D,O95450
GJB6,Non-essential,D,O95452
PARN,Non-essential,D,O95453
TGDS,Non-essential,D,O95455
PSMG1,Non-essential,D,O95456
MATN4,Non-essential,D,O95460
LARGE1,Non-essential,D,O95461
FMNL1,Cancer,O,O95466
GNAS,Non-essential,D,O95467
SGPL1,Non-essential,D,O95470
CLDN7,Non-essential,D,O95471
SYNGR4,Non-essential,D,O95473
SIX6,Non-essential,D,O95475
CTDNEP1,Non-essential,D,O95476
ABCA1,Non-essential,D,O95477
NSA2,Core,B,O95478
H6PD,Non-essential,D,O95479
CLDN9,Non-essential,D,O95484
SEC24A,Non-essential,D,O95486
SEC24B,Non-essential,D,O95487
ADGRL2,Non-essential,D,O95490
VNN1,Non-essential,D,O95497
VNN2,Non-essential,D,O95498
CLDN14,Non-essential,D,O95500
NPTXR,Non-essential,D,O95502
CBX6,Non-essential,D,O95503
PRAMEF1,Cancer,O,O95521
PRAMEF12,Non-essential,D,O95522
SLC2A10,Non-essential,D,O95528
NADK,Non-essential,D,O95544
TDP2,Non-essential,D,O95551
C1orf105,Non-essential,D,O95561
SFT2D2,Non-essential,D,O95562
MPC2,Non-essential,D,O95563
C22orf31,Non-essential,D,O95567
METTL18,Non-essential,D,O95568
ETHE1,Non-essential,D,O95571
ACSL3,Non-essential,D,O95573
KLF8,Non-essential,D,O95600
POLR1A,Core,D,O95602
PCNT,Non-essential,D,O95613
YEATS4,Core,D,O95619
DUS4L,Cancer,O,O95620
ADCY5,Non-essential,D,O95622
ZBTB11,Core,D,O95625
ANP32D,Non-essential,D,O95626
CNOT4,Non-essential,D,O95628
STAMBP,Non-essential,D,O95630
NTN1,Non-essential,D,O95631
FSTL3,Non-essential,D,O95633
CPSF4,Core,D,O95639
NFATC1,Non-essential,D,O95644
DIRAS3,Non-essential,D,O95661
NTSR2,Non-essential,D,O95665
ATP6V1G2,Non-essential,D,O95670
ASMTL,Non-essential,D,O95671
ECEL1,Non-essential,D,O95672
CDS2,Non-essential,D,O95674
EYA4,Non-essential,D,O95677
KRT75,Non-essential,D,O95678
CEP43,Non-essential,D,O95684
PPP1R3D,Non-essential,D,O95685
BRD1,Non-essential,D,O95696
APBB3,Non-essential,D,O95704
POP4,Core,O,O95707
LY86,Non-essential,D,O95711
HERC2,Non-essential,D,O95714
CXCL14,Non-essential,D,O95715
RAB3D,Non-essential,D,O95716
ESRRB,Non-essential,D,O95718
SNAP29,Non-essential,D,O95721
CRTAM,Cancer,O,O95727
CPNE6,Cancer,O,O95741
OXSR1,Cancer,O,O95747
GGPS1,Core,B,O95749
FGF19,Non-essential,D,O95750
LDOC1,Cancer,O,O95751
SEMA4F,Non-essential,D,O95754
RAB36,Non-essential,D,O95755
HSPA4L,Non-essential,D,O95757
PTBP3,Non-essential,D,O95758
TBC1D8,Cancer,O,O95759
IL33,Non-essential,D,O95760
STARD3NL,Non-essential,D,O95772
LSM8,Core,D,O95777
ZNF682,Non-essential,D,O95780
AP2A1,Non-essential,D,O95782
WIZ,Non-essential,D,O95785
RIGI,Non-essential,D,O95786
ZMYM6,Non-essential,D,O95789
STAU1,Non-essential,D,O95793
GPR75,Non-essential,D,O95800
TTC4,Non-essential,D,O95801
NDST3,Cancer,O,O95803
TMEM50A,Cancer,O,O95807
CAVIN2,Non-essential,D,O95810
CER1,Non-essential,D,O95813
BAG2,Non-essential,D,O95816
BAG3,Non-essential,D,O95817
MAP4K4,Non-essential,D,O95819
MLYCD,Non-essential,D,O95822
CRYZL1,Non-essential,D,O95825
AIFM1,Non-essential,D,O95831
CLDN1,Non-essential,D,O95832
CLIC3,Non-essential,D,O95833
EML2,Non-essential,D,O95834
LATS1,Non-essential,D,O95835
GNA14,Non-essential,D,O95837
GLP2R,Non-essential,D,O95838
ANGPTL1,Non-essential,D,O95841
GUCA1C,Cancer,O,O95843
SLC25A27,Non-essential,D,O95847
NUDT14,Cancer,O,O95848
TSPAN13,Non-essential,D,O95857
TSPAN15,Non-essential,D,O95858
TSPAN12,Non-essential,D,O95859
BPNT1,Non-essential,D,O95861
SNAI1,Non-essential,D,O95863
FADS2,Non-essential,D,O95864
DDAH2,Non-essential,D,O95865
MPIG6B,Non-essential,D,O95866
LY6G6C,Cancer,O,O95867
ABHD16A,Non-essential,D,O95870
GPANK1,Non-essential,D,O95872
C6orf47,Non-essential,D,O95873
WDPCP,Non-essential,D,O95876
TXNDC12,Non-essential,D,O95881
DLGAP3,Non-essential,D,O95886
OLFM2,Non-essential,D,O95897
TRUB2,Non-essential,D,O95900
ECD,Core,B,O95905
SLC16A8,Non-essential,D,O95907
OR2H2,Non-essential,D,O95918
TTLL1,Cancer,O,O95922
EPPIN,Non-essential,D,O95925
SYF2,Core,D,O95926
CBX7,Non-essential,D,O95931
TGM6,Non-essential,D,O95932
TBX18,Non-essential,D,O95935
EOMES,Non-essential,D,O95936
NCR2,Non-essential,D,O95944
TBX6,Non-essential,D,O95947
ONECUT2,Non-essential,D,O95948
FTCD,Non-essential,D,O95954
ITGBL1,Non-essential,D,O95965
EFEMP2,Non-essential,D,O95967
SCGB1D1,Non-essential,D,O95968
SCGB1D2,Non-essential,D,O95969
LGI1,Non-essential,D,O95970
CD160,Non-essential,D,O95971
BMP15,Non-essential,D,O95972
IGSF6,Non-essential,D,O95976
S1PR4,Non-essential,D,O95977
RECK,Non-essential,D,O95980
MBD3,Non-essential,D,O95983
TOP3B,Non-essential,D,O95985
TCL1B,Non-essential,D,O95988
NUDT3,Non-essential,D,O95989
FAM107A,Non-essential,D,O95990
CH25H,Cancer,O,O95992
AGR2,Cancer,O,O95994
APC2,Non-essential,D,O95996
PTTG1,Non-essential,D,O95997
IL18BP,Non-essential,D,O95998
BCL10,Non-essential,D,O95999
NDUFB10,Non-essential,D,O96000
PPP1R17,Non-essential,D,O96001
HAND1,Non-essential,D,O96004
CLPTM1,Non-essential,D,O96005
ZBED1,Non-essential,D,O96006
MOCS2,Non-essential,D,O96007
TOMM40,Core,D,O96008
NAPSA,Non-essential,D,O96009
PEX11B,Non-essential,D,O96011
PAK4,Non-essential,D,O96013
WNT11,Non-essential,D,O96014
DNAL4,Non-essential,D,O96015
CHEK2,Non-essential,D,O96017
APBA3,Non-essential,D,O96018
ACTL6A,Core,D,O96019
CCNE2,Non-essential,D,O96020
B3GALT4,Cancer,O,O96024
NSD2,Non-essential,D,O96028
MOCS2,Non-essential,D,O96033
HMHB1,Non-essential,D,O97980
CYB5A,Non-essential,D,P00167
ADH1B,Non-essential,D,P00325
ADH1C,Non-essential,D,P00326
LDHA,Non-essential,D,P00338
ALDH1A1,Non-essential,D,P00352
GLUD1,Non-essential,D,P00367
DHFR,Non-essential,D,P00374
CYB5R3,Non-essential,D,P00387
GSR,Non-essential,D,P00390
PAH,Non-essential,D,P00439
SOD1,Core,D,P00441
CP,Non-essential,D,P00450
F8,Non-essential,D,P00451
OTC,Non-essential,D,P00480
F13A1,Non-essential,D,P00488
PNP,Non-essential,D,P00491
HPRT1,Non-essential,D,P00492
GOT2,Non-essential,D,P00505
ABL1,Cancer,O,P00519
EGFR,Core,O,P00533
MOS,Non-essential,D,P00540
PGK1,Core,D,P00558
AK1,Non-essential,D,P00568
LALBA,Non-essential,D,P00709
F2,Non-essential,D,P00734
C1R,Cancer,O,P00736
HP,Non-essential,D,P00738
HPR,Non-essential,D,P00739
F9,Non-essential,D,P00740
F10,Non-essential,D,P00742
CFD,Cancer,O,P00746
PLG,Cancer,O,P00747
F12,Cancer,O,P00748
PLAU,Non-essential,D,P00749
PLAT,Non-essential,D,P00750
CFB,Non-essential,D,P00751
REN,Non-essential,D,P00797
ADA,Non-essential,D,P00813
CA1,Non-essential,D,P00915
CA2,Non-essential,D,P00918
ASS1,Non-essential,D,P00966
OAS1,Non-essential,D,P00973
SPINK1,Non-essential,D,P00995
SERPINC1,Non-essential,D,P01008
SERPINA1,Non-essential,D,P01009
SERPINA3,Non-essential,D,P01011
AGT,Non-essential,D,P01019
A2M,Non-essential,D,P01023
C3,Non-essential,D,P01024
C5,Non-essential,D,P01031
TIMP1,Non-essential,D,P01033
CST3,Non-essential,D,P01034
CST4,Cancer,O,P01036
CST1,Non-essential,D,P01037
CSTA,Non-essential,D,P01040
KNG1,Non-essential,D,P01042
FOS,Non-essential,D,P01100
MYC,Core,D,P01106
NRAS,Non-essential,D,P01111
HRAS,Non-essential,D,P01112
KRAS,Non-essential,D,P01116
PDGFB,Non-essential,D,P01127
LDLR,Non-essential,D,P01130
EGF,Non-essential,D,P01133
TGFA,Non-essential,D,P01135
TGFB1,Non-essential,D,P01137
NGF,Non-essential,D,P01138
GNRH1,Cancer,O,P01148
NPPA,Non-essential,D,P01160
OXT,Non-essential,D,P01178
AVP,Non-essential,D,P01185
POMC,Non-essential,D,P01189
