gene,essential_category,database,Protein
BRD3OS,Non-essential,D,A0A1B0GUI7
UBE2L5,Non-essential,D,A0A1B0GUS4
C10orf143,Non-essential,D,A0A1B0GUT2
C17orf113,Non-essential,D,A0A1B0GUU1
TEX48,Non-essential,D,A0A1B0GUV7
SPEM3,Non-essential,D,A0A1B0GUW6
SPMIP1,Non-essential,D,A0A1B0GUX0
MARCOL,Non-essential,D,A0A1B0GUY1
GOLGA6L7,Non-essential,D,A0A1B0GV03
REELD1,Non-essential,D,A0A1B0GV85
CCDC194,Non-essential,D,A0A1B0GVG4
C13orf42,Non-essential,D,A0A1B0GVH6
IQCM,Non-essential,D,A0A1B0GVH7
FAM240A,Non-essential,D,A0A1B0GVK7
ETDC,Non-essential,D,A0A1B0GVM5
C11orf97,Non-essential,D,A0A1B0GVM6
C2orf92,Non-essential,D,A0A1B0GVN3
SPAAR,Non-essential,D,A0A1B0GVQ0
CCDC200,Non-essential,D,A0A1B0GVQ3
MDFIC2,Non-essential,D,A0A1B0GVS7
SMIM31,Non-essential,D,A0A1B0GVY4
TMEM269,Non-essential,D,A0A1B0GVZ9
EXOC1L,Non-essential,D,A0A1B0GW35
SMIM33,Non-essential,D,A0A1B0GW64
PRRT1B,Non-essential,D,A0A1B0GWB2
SERTM2,Non-essential,D,A0A1B0GWG4
PVALEF,Non-essential,D,A0A1B0GWK0
DUXB,Non-essential,D,A0A1W2PPF3
GNG14,Non-essential,D,A0A1W2PPG7
CPHXL,Non-essential,D,A0A1W2PPM1
ERFL,Non-essential,D,A0A1W2PQ73
GSTT4,Non-essential,D,A0A1W2PR19
TLE7,Non-essential,D,A0A1W2PR48
PERCC1,Non-essential,D,A0A1W2PR82
FOXL3,Non-essential,D,A0A1W2PRP0
TMEM271,Non-essential,D,A0A286YF58
SMIM38,Non-essential,D,A0A286YFK9
H2BK1,Non-essential,D,A0A2R8Y619
TINCR,Cancer,O,A0A2R8Y7D0
SMIM41,Non-essential,D,A0A2R8YCJ5
OOSP3,Non-essential,D,A0A2R8YFM6
FOXO3B,Non-essential,D,A0A2Z4LIS9
MSANTD5,Non-essential,D,A0A3B3IT52
SPADH,Non-essential,D,A0A494C103
NFILZ,Non-essential,D,A0A5F9ZHS7
HAPSTR2,Non-essential,D,A0A7P0TBJ1
CCDC92B,Non-essential,D,A0A8I5KY20
KANSL1L,Non-essential,D,A0AUZ9
SLC12A8,Non-essential,D,A0AV02
RBM47,Non-essential,D,A0AV96
IFT56,Non-essential,D,A0AVF1
FER1L5,Non-essential,D,A0AVI2
TMEM129,Non-essential,D,A0AVI4
E2F8,Non-essential,D,A0AVK6
UBA6,Non-essential,D,A0AVT1
ESYT2,Non-essential,D,A0FGR8
ESYT3,Non-essential,D,A0FGR9
MED19,Non-essential,D,A0JLT2
BLTP3B,Non-essential,D,A0JNW5
SHTN1,Non-essential,D,A0MZ66
PLSCR5,Non-essential,D,A0PG75
DHRS12,Non-essential,D,A0PJE2
SLC5A10,Non-essential,D,A0PJK1
TMEM223,Non-essential,D,A0PJW6
DAPL1,Non-essential,D,A0PJW8
CIB4,Non-essential,D,A0PJX0
TLDC2,Non-essential,D,A0PJX2
SHISA3,Non-essential,D,A0PJX4
TMEM82,Non-essential,D,A0PJX8
FEZF1,Non-essential,D,A0PJY2
GXYLT2,Non-essential,D,A0PJZ3
TMEM120B,Non-essential,D,A0PK00
TMEM72,Non-essential,D,A0PK05
CLRN2,Non-essential,D,A0PK11
LNP1,Non-essential,D,A1A4G5
ARHGAP10,Non-essential,D,A1A4S6
CFAP119,Non-essential,D,A1A4V9
IRGM,Non-essential,D,A1A4Y4
FAM170A,Non-essential,D,A1A519
KRTAP23-1,Non-essential,D,A1A580
ANO9,Non-essential,D,A1A5B4
SLC22A23,Non-essential,D,A1A5C7
BICDL2,Non-essential,D,A1A5D9
ODAM,Cancer,O,A1E959
ARHGEF37,Non-essential,D,A1IGU5
FAM168B,Non-essential,D,A1KXE4
PXDNL,Non-essential,D,A1KZ92
MEX3A,Non-essential,D,A1L020
TSPAN11,Cancer,O,A1L157
ERICH2,Non-essential,D,A1L162
UBE2QL1,Non-essential,D,A1L167
C20orf202,Non-essential,D,A1L168
C1orf226,Non-essential,D,A1L170
NDUFAF8,Non-essential,D,A1L188
SYCE3,Non-essential,D,A1L190
IGSF23,Non-essential,D,A1L1A6
PLEKHG3,Non-essential,D,A1L390
ELOVL7,Non-essential,D,A1L3X0
NUTM2F,Non-essential,D,A1L443
PRSS38,Non-essential,D,A1L453
SSC5D,Non-essential,D,A1L4H1
FSD2,Non-essential,D,A1L4K1
PLAC8L1,Non-essential,D,A1L4L8
SH3PXD2B,Non-essential,D,A1X283
CIBAR1,Non-essential,D,A1XBS5
ZBTB7C,Non-essential,D,A1YPR0
MACROD2,Non-essential,D,A1Z1Q3
ZC3H12D,Non-essential,D,A2A288
SERTM1,Non-essential,D,A2A2V5
FRMD3,Non-essential,D,A2A2Y4
ANKRD18B,Non-essential,D,A2A2Z9
MAGEB16,Non-essential,D,A2A368
PTPDC1,Non-essential,D,A2A3K4
TTC24,Non-essential,D,A2A3L6
BCLAF3,Non-essential,D,A2AJT9
DYTN,Non-essential,D,A2CJ06
CCDC78,Non-essential,D,A2IDD5
HFM1,Non-essential,D,A2PYH4
ZNF320,Non-essential,D,A2RRD8
WDR27,Non-essential,D,A2RRH5
TMEM213,Non-essential,D,A2RRL7
NBAS,Non-essential,D,A2RRP1
TARS3,Non-essential,D,A2RTX5
HEATR9,Non-essential,D,A2RTY3
TMEM218,Non-essential,D,A2RU14
TESPA1,Non-essential,D,A2RU30
SMCO3,Non-essential,D,A2RU48
HYKK,Non-essential,D,A2RU49
HMX2,Non-essential,D,A2RU54
FAM234B,Non-essential,D,A2RU67
MEIOC,Non-essential,D,A2RUB1
CCDC66,Non-essential,D,A2RUB6
TYW5,Non-essential,D,A2RUC4
MYBPHL,Non-essential,D,A2RUH7
CCDC144A,Cancer,O,A2RUR9
DENND3,Non-essential,D,A2RUS2
TMEM89,Non-essential,D,A2RUT3
CLPSL1,Non-essential,D,A2RUU4
DCDC2B,Non-essential,D,A2VCK2
FUOM,Non-essential,D,A2VDF0
TMEM131L,Non-essential,D,A2VDJ0
OR2M5,Non-essential,D,A3KFT3
VWA8,Non-essential,D,A3KMH1
SBNO1,Core,D,A3KN83
LAMB4,Cancer,O,A4D0S4
CPED1,Non-essential,D,A4D0V7
FAM221A,Non-essential,D,A4D161
GSAP,Non-essential,D,A4D1B5
ZNF804B,Non-essential,D,A4D1E1
GTPBP10,Non-essential,D,A4D1E9
LRRD1,Non-essential,D,A4D1F6
WDR91,Non-essential,D,A4D1P6
KLRG2,Non-essential,D,A4D1S0
RAB19,Non-essential,D,A4D1S5
PRSS37,Non-essential,D,A4D1T9
DENND11,Non-essential,D,A4D1U4
GRIFIN,Non-essential,D,A4D1Z8
SPMIP7,Non-essential,D,A4D263
MBLAC1,Non-essential,D,A4D2B0
OR2A25,Non-essential,D,A4D2G3
GRID2IP,Non-essential,D,A4D2P6
MTMR11,Non-essential,D,A4FU01
CTAGE9,Non-essential,D,A4FU28
SH3D21,Cancer,O,A4FU49
EFCAB5,Non-essential,D,A4FU69
EME2,Non-essential,D,A4GXA9
SLC35F4,Non-essential,D,A4IF30
CFAP90,Non-essential,D,A4QMS7
XIRP2,Non-essential,D,A4UGR9
POTEF,Non-essential,D,A5A3E0
FITM1,Non-essential,D,A5D6W6
CLEC18A,Non-essential,D,A5D8T8
VPS37C,Non-essential,D,A5D8V6
ODAD3,Non-essential,D,A5D8V7
CFAP69,Non-essential,D,A5D8W1
PSMB11,Non-essential,D,A5LHX3
PSD,Non-essential,D,A5PKW4
RGSL1,Non-essential,D,A5PLK6
ANKRD34B,Non-essential,D,A5PLL1
PEDS1,Non-essential,D,A5PLL7
FAM149A,Non-essential,D,A5PLN7
TRAPPC13,Non-essential,D,A5PLN9
HTR3E,Non-essential,D,A5X5Y0
CNOT1,Non-essential,D,A5YKK6
ARHGEF35,Non-essential,D,A5YM69
CARNS1,Non-essential,D,A5YM72
MEGF11,Non-essential,D,A6BM72
CDHR4,Non-essential,D,A6H8M9
BDP1,Core,D,A6H8Y1
FAM221B,Non-essential,D,A6H8Z2
C5orf63,Non-essential,D,A6NC05
DPPA5,Non-essential,D,A6NC42
TMEM150B,Non-essential,D,A6NC51
ANKRD62,Non-essential,D,A6NC57
PINLYP,Non-essential,D,A6NC86
CCDC88B,Non-essential,D,A6NC98
MAP1LC3B2,Non-essential,D,A6NCE7
KLHL33,Non-essential,D,A6NCF5
VWA3A,Non-essential,D,A6NCI4
C2orf78,Non-essential,D,A6NCI8
TEKTIP1,Non-essential,D,A6NCJ1
GMNC,Non-essential,D,A6NCL1
LRCOL1,Non-essential,D,A6NCL2
ANKRD33B,Non-essential,D,A6NCL7
TEX52,Non-essential,D,A6NCN8
RNF222,Non-essential,D,A6NCQ9
C2orf72,Non-essential,D,A6NCS6
OR6C74,Non-essential,D,A6NCV1
IZUMO1R,Non-essential,D,A6ND01
FAM83G,Non-essential,D,A6ND36
OR14I1,Non-essential,D,A6ND48
ASPDH,Non-essential,D,A6ND91
LRIT2,Non-essential,D,A6NDA9
PALM3,Cancer,O,A6NDB9
SYNDIG1L,Non-essential,D,A6NDD5
GAGE12H,Non-essential,D,A6NDE8
PGP,Non-essential,D,A6NDG6
OR5H15,Non-essential,D,A6NDH6
TRIM49B,Non-essential,D,A6NDI0
OR6C68,Non-essential,D,A6NDL8
GOLGA6B,Non-essential,D,A6NDN3
MYADML2,Cancer,O,A6NDP7
RIMOC1,Non-essential,D,A6NDU8
TMEM8B,Non-essential,D,A6NDV4
PABPN1L,Non-essential,D,A6NDY0
FAM186A,Non-essential,D,A6NE01
BTBD17,Non-essential,D,A6NE02
WDR97,Non-essential,D,A6NE52
RCCD1,Non-essential,D,A6NED2
PLEKHD1,Non-essential,D,A6NEE1
TMEM247,Non-essential,D,A6NEH6
ARRDC5,Non-essential,D,A6NEK1
SOWAHB,Non-essential,D,A6NEL2
CXorf65,Non-essential,D,A6NEN9
FAM181B,Non-essential,D,A6NEQ2
TBC1D3F,Core,O,A6NER0
MROH2A,Non-essential,D,A6NES4
OR5K3,Non-essential,D,A6NET4
PRR23A,Non-essential,D,A6NEV1
ANTXRL,Non-essential,D,A6NF34
CCDC182,Non-essential,D,A6NF36
NUPR2,Non-essential,D,A6NF83
OR6C6,Non-essential,D,A6NF89
SPATA31F3,Non-essential,D,A6NFA0
TRABD2B,Non-essential,D,A6NFA1
TMEM235,Non-essential,D,A6NFC5
HELT,Cancer,O,A6NFD8
SMCO2,Non-essential,D,A6NFE2
EFCAB10,Non-essential,D,A6NFE3
FABP12,Non-essential,D,A6NFH5
ZNF316,Non-essential,D,A6NFI3
GRXCR2,Non-essential,D,A6NFK2
RBFOX3,Non-essential,D,A6NFN3
ANKUB1,Non-essential,D,A6NFN9
TCAF2,Non-essential,D,A6NFQ2
DPRX,Non-essential,D,A6NFQ7
CFAP73,Non-essential,D,A6NFT4
FAM187A,Non-essential,D,A6NFU0
PGPEP1L,Non-essential,D,A6NFU8
