split_index,n_train,n_test,train_ess_pct,test_ess_pct,hypergraph_pr_auc,hypergraph_f1,hyper_nostoich_pr_auc,hyper_nostoich_f1,pairwise_pr_auc,pairwise_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff
1,2693,701,6.349795766802822,5.1355206847360915,0.2756827366591884,0.29015544041450775,0.18294370199095458,0.24864864864864866,0.17685845926872312,0.13095238095238096,0.09882427739046529,0.1592030594621268,0.09273903466823383,0.041506791765859086
2,2714,680,6.079587324981577,6.176470588235294,0.33208876897506184,0.28717948717948716,0.32385090886285917,0.2542372881355932,0.2672820727695271,0.2146341463414634,0.06480669620553475,0.07254534083802375,0.008237860112202677,0.03294219904389395
3,2677,717,5.902129249159507,6.834030683403068,0.3634289002897915,0.26515151515151514,0.3362553119542362,0.24313725490196078,0.26470206851361916,0.21212121212121213,0.09872683177617236,0.05303030303030301,0.027173588335555332,0.022014260249554357
4,2722,672,5.731080088170462,7.5892857142857135,0.23336164171066934,0.27007299270072993,0.2477567720077431,0.26666666666666666,0.18389967404155175,0.17293233082706766,0.04946196766911759,0.09714066187366227,-0.01439513029707376,0.0034063260340632673
5,2736,658,6.286549707602338,5.319148936170213,0.24576741435131583,0.2233502538071066,0.21660165498501233,0.22110552763819097,0.30106417667194557,0.20717131474103587,-0.055296762320629744,0.016178939066070736,0.0291657593663035,0.002244726168915634
6,2688,706,6.026785714285714,6.373937677053824,0.29444259144640167,0.3108108108108108,0.24312137072939027,0.2627118644067797,0.2886505313561824,0.211864406779661,0.005792060090219264,0.09894640403114979,0.051321220717011395,0.04809894640403112
7,2680,714,6.4179104477611935,4.901960784313726,0.21266153245984487,0.2304147465437788,0.17373084312444118,0.18502202643171806,0.1889493606109124,0.17777777777777778,0.023712171848932484,0.05263696876600102,0.038930689335403695,0.04539272011206075
8,2660,734,6.165413533834586,5.858310626702997,0.2992880489513751,0.24193548387096775,0.21009964772049763,0.2014388489208633,0.20309225186921825,0.21875,0.09619579708215686,0.02318548387096775,0.08918840123087748,0.04049663495010444
9,2636,758,5.690440060698028,7.519788918205805,0.22469030878793878,0.25396825396825395,0.2215678373682753,0.25149700598802394,0.18092053991554088,0.21568627450980393,0.04376976887239789,0.03828197945845002,0.003122471419663486,0.002471247980230018
10,2679,715,5.785740948114968,7.2727272727272725,0.2528068997974746,0.29896907216494845,0.22794305207607996,0.29596412556053814,0.2542028815962468,0.29850746268656714,-0.0013959817987722056,0.0004616094783813085,0.02486384772139466,0.003004946604410308
11,2729,665,6.375961890802492,4.962406015037594,0.2912664640171059,0.234375,0.2677205751857457,0.22110552763819097,0.19948577569572062,0.16901408450704225,0.09178068832138525,0.06536091549295775,0.023545888831360162,0.013269472361809032
12,2768,626,6.430635838150289,4.63258785942492,0.25259622396360715,0.19480519480519481,0.17789642391160163,0.1797752808988764,0.1938591427833442,0.16759776536312848,0.05873708118026294,0.027207429442066333,0.07469980005200552,0.015029913906318415
13,2755,639,6.02540834845735,6.416275430359937,0.2590776607851927,0.3442622950819672,0.2723734095992763,0.27149321266968324,0.19881585767169524,0.18705035971223022,0.060261803113497436,0.157211935369737,-0.01329574881408363,0.07276908241228397
14,2690,704,6.20817843866171,5.681818181818182,0.24566007033958479,0.2131979695431472,0.2534123140914638,0.2733812949640288,0.21740306859339778,0.15126050420168066,0.028257001746187005,0.06193746534146655,-0.007752243751879023,-0.06018332542088159
15,2717,677,6.404122193595878,4.874446085672083,0.3202510262216372,0.27102803738317754,0.31879221601501184,0.27848101265822783,0.21858140461303713,0.2204724409448819,0.10166962160860007,0.05055559643829566,0.0014588102066253605,-0.007452975275050289
