split_index,n_train,n_test,train_ess_pct,test_ess_pct,pairwise_pr_auc,pairwise_f1,hypergraph_pr_auc,hypergraph_f1,hyper_flag_pr_auc,hyper_flag_f1,hb_graph_pr_auc,hb_graph_f1,pr_auc_diff,f1_diff,stoich_pr_auc_diff,stoich_f1_diff,annot_pr_auc_diff,value_pr_auc_diff
1,3995,1059,16.821026282853566,19.263456090651555,0.5614730687900469,0.5100917431192661,0.5513736517478995,0.5333333333333333,0.5514594762815973,0.5379061371841155,0.5590972166346646,0.5272727272727272,-0.0023758521553822742,0.017180984153461143,0.007723564886765066,-0.0060606060606061,8.582453369776477e-05,0.007637740353067302
2,4149,905,17.23306820920704,17.790055248618785,0.3779769450863643,0.38768115942028986,0.4248957071928473,0.43824701195219123,0.4260600894088078,0.43564356435643564,0.4213979386213419,0.43737574552683894,0.04342099353497758,0.04969458610654909,-0.0034977685715054108,-0.0008712664253522906,0.001164382215960491,-0.004662150787465902
3,4179,875,17.252931323283082,17.71428571428571,0.44490744208736716,0.4774193548387097,0.4620195832212298,0.47058823529411764,0.46297423434134166,0.47577092511013214,0.4639734902304047,0.48034934497816595,0.01906604814303753,0.0029299901394562733,0.00195390700917486,0.009761109684048308,0.000954651120111838,0.000999255889063022
4,4119,935,16.533139111434814,20.855614973262032,0.5562083039821298,0.5373134328358209,0.6202004209511045,0.5590551181102362,0.619977513349569,0.5562130177514792,0.6251307157197885,0.5568627450980392,0.06892241173765867,0.019549312262218344,0.004930294768684007,-0.002192373012196991,-0.00022290760153553801,0.005153202370219545
5,4100,954,16.609756097560975,20.440251572327046,0.5208988098205349,0.5191146881287726,0.5837385631651562,0.5279383429672447,0.5831127703584689,0.5383104125736738,0.5908555472432858,0.5390625,0.06995673742275088,0.019947811871227406,0.007116984078129662,0.011124157032755266,-0.0006257928066872864,0.007742776884816949
6,4111,943,17.903186572610068,14.846235418875928,0.41796723690633586,0.4236453201970443,0.4892159985186386,0.4668304668304668,0.4898955868746092,0.45925925925925926,0.4903940064732017,0.46534653465346537,0.07242676956686583,0.041701214456421054,0.0011780079545630762,-0.0014839321770014346,0.0006795883559705951,0.0004984195985924811
7,4127,927,16.476859704385753,21.143473570658035,0.5484374140980849,0.5211267605633803,0.5843704777001074,0.5615942028985508,0.5693570727446775,0.5617173524150268,0.5933834587883116,0.5642857142857143,0.04494604469022667,0.043158953722334026,0.009012981088204142,0.0026915113871635032,-0.01501340495542991,0.02402638604363405
8,4069,985,17.547308921110837,16.446700507614214,0.37763303115182323,0.4013722126929674,0.48705461350425916,0.448559670781893,0.48700270734386103,0.4444444444444444,0.4858327121243452,0.4435146443514644,0.10819968097252197,0.042142431658497015,-0.0012219013799139589,-0.00504502643042859,-5.1906160398129675e-05,-0.0011699952195158292
9,4078,976,17.925453653751838,14.856557377049182,0.505819204364479,0.43711340206185567,0.5423145402757061,0.4768211920529801,0.5445798190856129,0.4778761061946903,0.5379187984659134,0.47058823529411764,0.03209959410143437,0.03347483323226197,-0.004395741809792741,-0.006232956758862485,0.00226527880990679,-0.006661020619699531
10,3886,1168,18.116314976839938,14.726027397260275,0.35385983492640605,0.4016393442622951,0.4326154985735875,0.4164859002169197,0.4300348338553209,0.41379310344827586,0.4308213784300266,0.4146868250539957,0.07696154350362056,0.013047480791700594,-0.0017941201435608956,-0.0017990751629240465,-0.002580664718266623,0.0007865445747057276
11,3854,1200,18.370524130773223,14.000000000000002,0.3195676551695966,0.39138240574506283,0.40711471831483964,0.39763779527559057,0.4078192890898277,0.4015748031496063,0.3999561014885581,0.39921722113502933,0.08038844631896147,0.007834815389966499,-0.00715861682628155,0.0015794258594387656,0.0007045707749880337,-0.007863187601269583
12,4138,916,18.197196713388113,13.427947598253276,0.41309403542692663,0.3991031390134529,0.5030294662490781,0.4838709677419355,0.5037632106126991,0.48517520215633425,0.5089703096016472,0.46994535519125685,0.09587627417472061,0.07084221617780395,0.0059408433525691695,-0.013925612550678645,0.0007337443636210583,0.005207098988948111
13,4036,1018,17.517343904856293,16.601178781925345,0.6295842487569214,0.521415270018622,0.670851619384205,0.5009708737864078,0.6708197336152308,0.5009708737864078,0.6779605605098779,0.5087378640776699,0.048376311752956425,-0.012677405940952124,0.007108941125672841,0.007766990291262044,-3.188576897417139e-05,0.007140826894647012
14,4072,982,17.460707269155208,16.802443991853362,0.48756908871283855,0.46037735849056605,0.5119580875956069,0.4698544698544699,0.5131640776627746,0.4718162839248434,0.5144452728218731,0.4708333333333333,0.026876184109034584,0.01045597484276728,0.002487185226266231,0.0009788634788634454,0.001205990067167706,0.0012811951590985249
15,4033,1021,18.398214728489958,13.124387855044075,0.3524262280763497,0.4028103044496487,0.39025440004880424,0.43005181347150256,0.39018564648001686,0.43005181347150256,0.3922021627437386,0.43410852713178294,0.03977593466738888,0.031298222682134225,0.0019477626949343518,0.0040567136602803755,-6.875356878738303e-05,0.002016516263721735
16,3831,1223,16.81023231532237,18.969746524938675,0.5466587988818978,0.48175182481751827,0.5692775953841037,0.5008077544426495,0.5693492159575195,0.5016181229773463,0.5736710168096802,0.504885993485342,0.02701221792778241,0.02313416866782375,0.004393421425576527,0.004078239042692555,7.16205734158093e-05,0.004321800852160718
17,3905,1149,16.338028169014084,20.713664055700608,0.588020512557854,0.520863309352518,0.5810264045055039,0.5638629283489096,0.5813622845865538,0.5585023400936038,0.5824357333663439,0.5612403100775194,-0.005584779191510125,0.04037700072500139,0.0014093288608399979,-0.002622618271390209,0.00033588008104989964,0.0010734487797900982
18,4140,914,18.18840579710145,13.457330415754923,0.2621369206500887,0.35320088300220753,0.3766352582157365,0.3623853211009174,0.37400361190030046,0.35697940503432496,0.37959205135900204,0.35266821345707655,0.11745513070891334,-0.0005326695451309815,0.0029567931432655237,-0.009717107643840872,-0.0026316463154360537,0.005588439458701577
19,4047,1007,18.359278477884853,13.20754716981132,0.393725401284012,0.4427083333333333,0.4468560373430871,0.46965699208443273,0.4466414204613599,0.46842105263157896,0.44170120203905433,0.4599483204134367,0.04797580075504232,0.01723998708010338,-0.005154835304032768,-0.009708671670996039,-0.00021461688172719207,-0.004940218422305576
20,3941,1113,17.838112154275564,15.54357592093441,0.4973427631862871,0.4134078212290503,0.48449334303847624,0.4227353463587922,0.4881139558251841,0.42857142857142855,0.48929041304863563,0.4236983842010772,-0.008052350137651487,0.010290562972026907,0.004797070010159388,0.0009630378422850194,0.003620612786707833,0.0011764572234515547
